#{"t_start": 1669215608.5419796, "env_id": "DeepRMSA-v0"}
r,l,t,episode_service_blocking_rate,bit_rate_blocking_rate
49,49,1.479355,0.0,0.0
45,49,2.135128,0.04081632653061224,0.01870364398581103
9,49,2.716226,0.40816326530612246,0.16716673810544364
-7,49,3.295678,0.5714285714285714,0.2892176569912358
-21,49,3.848936,0.7142857142857143,0.38724607868346617
-9,49,4.419751,0.5918367346938775,0.43062890062409986
-23,49,4.959628,0.7346938775510204,0.48038356922225806
-5,49,5.552985,0.5510204081632653,0.49710702002832285
-13,49,6.115224,0.6326530612244898,0.5141381676356939
-3,49,6.70547,0.5306122448979592,0.518327848554951
-15,49,7.295766,0.6530612244897959,0.5376474773225826
-13,49,7.864906,0.6326530612244898,0.5453461590570383
-17,49,8.4183,0.673469387755102,0.5604878171187674
-13,49,8.978433,0.6326530612244898,0.5691028507546115
-19,49,9.53725,0.6938775510204082,0.5784868535608567
-23,49,10.077464,0.7346938775510204,0.593149931784398
-13,49,10.653917,0.6326530612244898,0.5980059478420009
-15,49,11.203095,0.6530612244897959,0.6073459545061907
-15,49,11.829839,0.6530612244897959,0.6129048790487905
-19,49,12.684856,0.6938775510204082,0.6194917457428831
-7,49,13.968803,0.5714285714285714,0.619073375780429
-29,49,15.079924,0.7959183673469388,0.6284113420655806
-17,49,16.288763,0.673469387755102,0.6320421540374075
-21,49,17.4777,0.7142857142857143,0.6360114330610531
-9,49,18.751451,0.5918367346938775,0.6362833008447043
-3,49,19.648983,0.5306122448979592,0.6359261527692711
-9,49,20.468254,0.5918367346938775,0.6378101044244583
-11,49,21.235498,0.6122448979591837,0.6383392308408604
-21,49,22.028652,0.7142857142857143,0.6436021940472979
-5,49,22.827013,0.5510204081632653,0.6424803402255843
-7,49,23.635886,0.5714285714285714,0.6413561604916187
-17,49,24.416227,0.673469387755102,0.6426551509397364
-19,49,25.177395,0.6938775510204082,0.645651205385872
-15,49,25.92838,0.6530612244897959,0.646699219500942
-11,49,26.703092,0.6122448979591837,0.6468009699682895
3,49,27.491283,0.46938775510204084,0.6448318781855018
-9,49,28.267723,0.5918367346938775,0.6437974661161555
-13,49,29.01553,0.6326530612244898,0.645096047920683
-21,49,29.769908,0.7142857142857143,0.6469769625431743
7,49,30.567208,0.42857142857142855,0.642479726253379
-17,49,31.327738,0.673469387755102,0.6442429304378953
-15,49,32.083097,0.6530612244897959,0.6464156661615573
-23,49,32.855931,0.7346938775510204,0.6488850354415746
-19,49,33.617713,0.6938775510204082,0.6509848451113981
-7,49,34.422311,0.5714285714285714,0.6504941729677953
-9,49,35.169525,0.5918367346938775,0.6497833345172978
-1,49,35.997699,0.5102040816326531,0.6478743968070756
-13,49,36.807396,0.6326530612244898,0.6484713775329315
-5,49,37.624682,0.5510204081632653,0.6483761324251629
3,49,38.403319,0.46938775510204084,0.645893244041757
-11,49,39.184943,0.6122448979591837,0.646206390861377
1,49,40.030829,0.4897959183673469,0.6441896814692498
-9,49,40.832294,0.5918367346938775,0.6436655645950197
-17,49,41.621264,0.673469387755102,0.6449453219927096
-15,49,42.384312,0.6530612244897959,0.6456944560382556
-23,49,43.184734,0.7346938775510204,0.647346307332595
-11,49,43.972139,0.6122448979591837,0.6470270332424943
-5,49,44.776131,0.5510204081632653,0.6455326198189641
-9,49,45.533746,0.5918367346938775,0.645227397686314
-3,49,46.3732,0.5306122448979592,0.6444027934120938
-17,49,47.153991,0.673469387755102,0.6448894478303397
-1,49,47.987028,0.5102040816326531,0.6441558166837658
-11,49,48.735086,0.6122448979591837,0.6435390145820219
-5,49,49.519052,0.5510204081632653,0.6429486194354798
1,49,50.271723,0.4897959183673469,0.6405267989548761
7,49,51.12545,0.42857142857142855,0.6377950017389576
9,49,51.9664,0.40816326530612246,0.6345952453192135
-15,49,52.783721,0.6530612244897959,0.6354411332056853
-17,49,53.580368,0.673469387755102,0.6366662709248486
-17,49,54.389392,0.673469387755102,0.637875200059901
-7,49,55.175355,0.5714285714285714,0.6374293315596941
-11,49,55.972456,0.6122448979591837,0.6377132243482061
15,49,56.827766,0.3469387755102041,0.6345789099930784
-1,49,57.639264,0.5102040816326531,0.6333007769145395
5,49,58.444081,0.4489795918367347,0.6318067897015266
-9,49,59.230422,0.5918367346938775,0.6317799120443843
1,49,60.022615,0.4897959183673469,0.630497745663014
-9,49,60.815358,0.5918367346938775,0.6301061421007887
-13,49,61.564656,0.6326530612244898,0.6307986907254178
-23,49,62.297678,0.7346938775510204,0.6325554517287169
-23,49,63.065868,0.7346938775510204,0.634157099673434
-5,49,63.857194,0.5510204081632653,0.6340555220036236
-15,49,64.59941,0.6530612244897959,0.6341604063480026
-11,49,65.392269,0.6122448979591837,0.6345583066468796
-5,49,66.190093,0.5510204081632653,0.633901063095509
-1,49,66.976703,0.5102040816326531,0.6333291394541094
-1,49,67.789628,0.5102040816326531,0.632368185947625
-9,49,68.612784,0.5918367346938775,0.6318871896130991
-13,49,69.386734,0.6326530612244898,0.6323011392946101
-17,49,70.158767,0.673469387755102,0.6332737030411449
-15,49,70.955666,0.6530612244897959,0.6336656845017254
-11,49,71.758868,0.6122448979591837,0.634097138315352
-1,49,72.565893,0.5102040816326531,0.6326268170832247
-5,49,73.386209,0.5510204081632653,0.6324616199785267
11,49,74.184068,0.3877551020408163,0.630516632647432
-17,49,74.970167,0.673469387755102,0.631502954297983
-13,49,75.742803,0.6326530612244898,0.6313924050632911
-5,49,76.552392,0.5510204081632653,0.6313873245552505
-13,49,77.297507,0.6326530612244898,0.6318307298123812
-27,49,78.039434,0.7755102040816326,0.6333932000562682
-9,49,78.834426,0.5918367346938775,0.6337286158631416
-19,49,79.607245,0.6938775510204082,0.634250807696133
-3,49,80.415518,0.5306122448979592,0.6342058971086005
7,49,81.207235,0.42857142857142855,0.6323064684000843
15,49,82.056227,0.3469387755102041,0.629665531095229
9,49,82.925964,0.40816326530612246,0.628364789006528
5,49,84.168952,0.4489795918367347,0.6267847250490465
-3,49,85.409906,0.5306122448979592,0.6262576977161421
-5,49,86.696171,0.5510204081632653,0.6258728452804813
-1,49,87.978672,0.5102040816326531,0.6251770222185198
-5,49,89.275467,0.5510204081632653,0.6245021742080513
15,49,90.548105,0.3469387755102041,0.6225100125705265
1,49,91.387871,0.4897959183673469,0.6219625247691113
-7,49,92.131963,0.5714285714285714,0.6223852853094055
-5,49,92.915845,0.5510204081632653,0.6218354745401643
-3,49,93.667769,0.5306122448979592,0.6213290373183387
-13,49,94.425027,0.6326530612244898,0.6221266175224964
7,49,95.21725,0.42857142857142855,0.6206634555926206
-5,49,96.030393,0.5510204081632653,0.620548001704772
3,49,96.809413,0.46938775510204084,0.6196105816180121
-15,49,97.568598,0.6530612244897959,0.6202455995175628
-7,49,98.360073,0.5714285714285714,0.6200616704652098
1,49,99.141799,0.4897959183673469,0.619534307140216
11,49,99.952936,0.3877551020408163,0.6181477923010326
9,49,100.787205,0.40816326530612246,0.6168870121467247
5,49,101.607556,0.4489795918367347,0.6158520736512689
-7,49,102.438729,0.5714285714285714,0.6159890452784841
-7,49,103.245003,0.5714285714285714,0.6160401002506266
-11,49,104.045971,0.6122448979591837,0.6161572606214331
1,49,104.827383,0.4897959183673469,0.6155380040837805
-1,49,105.643288,0.5102040816326531,0.6149608777767784
7,49,106.426436,0.42857142857142855,0.613926827998443
15,49,107.260392,0.3469387755102041,0.6124146453134308
-1,49,108.047625,0.5102040816326531,0.6119985540379468
-9,49,108.819843,0.5918367346938775,0.6122702211451075
-3,49,109.614457,0.5306122448979592,0.6121019644640129
3,49,110.429566,0.46938775510204084,0.6111810230168035
1,49,111.236745,0.4897959183673469,0.6106444104163803
-3,49,112.01839,0.5306122448979592,0.610447873612458
1,49,112.814116,0.4897959183673469,0.6099065202150035
-3,49,113.622986,0.5306122448979592,0.6095972746302046
-9,49,114.403977,0.5918367346938775,0.6097664944676654
1,49,115.185957,0.4897959183673469,0.608709472345836
3,49,115.983554,0.46938775510204084,0.6079329674922319
11,49,116.787494,0.3877551020408163,0.6064862207831447
13,49,117.602442,0.3673469387755102,0.6050351109757627
-5,49,118.439801,0.5510204081632653,0.6050196946659909
-7,49,119.19183,0.5714285714285714,0.605316887651833
3,49,120.024334,0.46938775510204084,0.6046774313826124
3,49,120.835173,0.46938775510204084,0.6039327801408549
7,49,121.669509,0.42857142857142855,0.6032091467177705
-9,49,122.47504,0.5918367346938775,0.6036504127161783
5,49,123.300092,0.4489795918367347,0.6029571185733987
13,49,124.128623,0.3673469387755102,0.6014937667719692
25,49,124.98233,0.24489795918367346,0.5992992403867046
-9,49,125.76904,0.5918367346938775,0.5994618360444111
11,49,126.555382,0.3877551020408163,0.5984200776416606
5,49,127.373087,0.4489795918367347,0.5977962174128231
13,49,128.184453,0.3673469387755102,0.596584537832416
7,49,129.021993,0.42857142857142855,0.5955493422935112
-13,49,129.803954,0.6326530612244898,0.5962813760167637
21,49,130.657088,0.2857142857142857,0.5947286633973078
9,49,131.440112,0.40816326530612246,0.5936176697035801
15,49,132.277463,0.3469387755102041,0.5923342933737281
-5,49,133.06617,0.5510204081632653,0.5921576630303415
-7,49,133.857511,0.5714285714285714,0.5924204786547709
-5,49,134.654309,0.5510204081632653,0.5925119149994809
7,49,135.486729,0.42857142857142855,0.5915849926264463
3,49,136.280533,0.46938775510204084,0.5910932585488294
21,49,137.148789,0.2857142857142857,0.589726990732713
7,49,138.008784,0.42857142857142855,0.5886145659540315
1,49,138.87543,0.4897959183673469,0.5881285546456255
11,49,139.695526,0.3877551020408163,0.5872421292519453
29,49,140.571868,0.20408163265306123,0.5853501973725079
21,49,141.382059,0.2857142857142857,0.5838103882250564
5,49,142.192073,0.4489795918367347,0.5833151907943827
13,49,143.011204,0.3673469387755102,0.5819700024042462
7,49,143.824816,0.42857142857142855,0.5812698564452551
7,49,144.619622,0.42857142857142855,0.5806455742267721
3,49,145.422232,0.46938775510204084,0.5803138570828705
-11,49,146.173455,0.6122448979591837,0.580901243355941
3,49,146.999815,0.46938775510204084,0.5805067910722793
9,49,147.792475,0.40816326530612246,0.5799622428329317
-13,49,148.601211,0.6326530612244898,0.5803749997777805
-7,49,149.355698,0.5714285714285714,0.5804003077930003
-3,49,150.142833,0.5306122448979592,0.5802853574004679
7,49,150.95792,0.42857142857142855,0.5798274483456072
9,49,151.862959,0.40816326530612246,0.5790607961785658
7,49,153.121225,0.42857142857142855,0.5784985594370723
-19,49,154.404365,0.6938775510204082,0.5793561809692592
1,49,155.650761,0.4897959183673469,0.5790244529142221
-3,49,156.943966,0.5306122448979592,0.5789549936508748
-1,49,158.251806,0.5102040816326531,0.5787271783774984
-5,49,159.387241,0.5510204081632653,0.5787269088098397
-3,49,160.197314,0.5306122448979592,0.5785921055282794
13,49,161.049073,0.3673469387755102,0.5776092819023623
21,49,161.915735,0.2857142857142857,0.5762181136440695
13,49,162.750778,0.3673469387755102,0.575505370439592
15,49,163.596338,0.3469387755102041,0.5747013689792398
-7,49,164.367987,0.5714285714285714,0.5746311186807068
3,49,165.159524,0.46938775510204084,0.5741766567064965
-11,49,165.954991,0.6122448979591837,0.5747093829077757
-1,49,166.792903,0.5102040816326531,0.5746684521312639
-1,49,167.596677,0.5102040816326531,0.5744835969880573
1,49,168.453195,0.4897959183673469,0.574024662638244
7,49,169.281475,0.42857142857142855,0.5732588004230246
27,49,170.158951,0.22448979591836735,0.5717150390767195
23,49,171.018059,0.2653061224489796,0.5704540979087078
21,49,171.907979,0.2857142857142857,0.5693973114873384
13,49,172.762446,0.3673469387755102,0.5684557108193089
25,49,173.664656,0.24489795918367346,0.567044679889624
23,49,174.512596,0.2653061224489796,0.5658326417896378
21,49,175.40333,0.2857142857142857,0.5649014458101969
15,49,176.259957,0.3469387755102041,0.5640461480749944
9,49,177.118782,0.40816326530612246,0.5635687335645413
15,49,177.979822,0.3469387755102041,0.5627828758245328
23,49,178.842665,0.2653061224489796,0.5616530049484381
19,49,179.669512,0.30612244897959184,0.5604472449470644
17,49,180.533714,0.32653061224489793,0.5595725734639359
19,49,181.358067,0.30612244897959184,0.5584688561856369
25,49,182.259989,0.24489795918367346,0.5571031879580197
5,49,183.139307,0.4489795918367347,0.5566238654431004
13,49,184.00096,0.3673469387755102,0.5557996156054215
-13,49,184.779689,0.6326530612244898,0.5561239108824045
-9,49,185.607221,0.5918367346938775,0.5565014173375009
17,49,186.454598,0.32653061224489793,0.555466888736015
-13,49,187.277801,0.6326530612244898,0.5560052832996398
7,49,188.079921,0.42857142857142855,0.5558267726710786
7,49,188.929444,0.42857142857142855,0.5554823109514665
13,49,189.779392,0.3673469387755102,0.554735599884409
17,49,190.623786,0.32653061224489793,0.5538023115424076
7,49,191.392961,0.42857142857142855,0.5536230288297979
1,49,192.211056,0.4897959183673469,0.5536160757577674
-9,49,193.029084,0.5918367346938775,0.5540306587302365
-13,49,193.824689,0.6326530612244898,0.5544680062065129
-3,49,194.645988,0.5306122448979592,0.554493440572237
21,49,195.511821,0.2857142857142857,0.5535224937989619
13,49,196.310124,0.3673469387755102,0.5529716687507918
3,49,197.16475,0.46938775510204084,0.5527743955947523
5,49,198.000208,0.4489795918367347,0.552579188980313
15,49,198.877668,0.3469387755102041,0.551978861680268
-1,49,199.680344,0.5102040816326531,0.5520931372615403
17,49,200.540739,0.32653061224489793,0.551286633068513
17,49,201.332607,0.32653061224489793,0.5504295015740333
11,49,202.163617,0.3877551020408163,0.55
17,49,203.068246,0.32653061224489793,0.5491823912774195
-1,49,203.902481,0.5102040816326531,0.5491270530664208
