#{"t_start": 1672832231.6481016, "env_id": "DeepRMSADPP-v0"}
r,l,t,episode_service_blocking_rate,bit_rate_blocking_rate,failure,episode_failure,failure_slots,episode_failure_slots,failure_disjointness,episode_failure_disjointness
-16,50,0.28197,0.66,0.6470070422535211,0.66,"(0.66,)",0.0,0.0,0.66,0.66
2,50,0.55075,0.48,0.575049504950495,0.57,"(0.48,)",0.0,0.0,0.57,0.48
-4,50,0.775761,0.54,0.5801200104356901,0.56,"(0.54,)",0.04,0.12,0.52,0.42
-14,50,1.010577,0.64,0.6136543014996053,0.58,"(0.64,)",0.09,0.24,0.49,0.4
-16,50,1.227973,0.66,0.6287368915323212,0.596,"(0.66,)",0.088,0.08,0.508,0.58
-16,50,1.435053,0.66,0.6334841628959276,0.6066666666666667,"(0.66,)",0.1,0.16,0.5066666666666667,0.5
-22,50,1.637863,0.72,0.6493378448024738,0.6228571428571429,"(0.72,)",0.11714285714285715,0.22,0.5057142857142857,0.5
-14,50,1.847962,0.64,0.6503255685079264,0.625,"(0.64,)",0.1325,0.24,0.4925,0.4
-6,50,2.103822,0.56,0.6386889641546711,0.6177777777777778,"(0.56,)",0.12444444444444444,0.06,0.49333333333333335,0.5
