#{"t_start": 1669197880.8712997, "env_id": "DeepRMSA-v0"}
r,l,t,episode_service_blocking_rate,bit_rate_blocking_rate
49,49,1.34552,0.0,0.0
49,49,2.412088,0.0,0.0
41,49,2.907405,0.08163265306122448,0.03911273039005572
23,49,3.387771,0.2653061224489796,0.11329098657232452
15,49,3.846211,0.3469387755102041,0.16932373360761122
17,49,4.312437,0.32653061224489793,0.20376593588307462
21,49,4.762594,0.2857142857142857,0.2241943663270481
17,49,5.219153,0.32653061224489793,0.24794659113898443
31,49,5.713032,0.1836734693877551,0.2469755516232711
25,49,6.211587,0.24489795918367346,0.25518881756866835
23,49,6.66673,0.2653061224489796,0.2626133870872117
19,49,7.130255,0.30612244897959184,0.2737840401029671
33,49,7.594965,0.16326530612244897,0.2676218915460089
11,49,8.047632,0.3877551020408163,0.28137227501397427
17,49,8.529664,0.32653061224489793,0.2897875674734459
15,49,8.988656,0.3469387755102041,0.297114581848541
21,49,9.469847,0.2857142857142857,0.2995081592191551
23,49,9.950148,0.2653061224489796,0.3029261445436222
21,49,10.413859,0.2857142857142857,0.30565805658056583
17,49,10.882932,0.32653061224489793,0.31265436110750033
19,49,11.511657,0.30612244897959184,0.31578784694319095
27,49,12.135311,0.22448979591836735,0.31381390260489045
25,49,12.731236,0.24489795918367346,0.31304740916539525
19,49,13.366459,0.30612244897959184,0.31518131696942603
27,49,13.992473,0.22448979591836735,0.31351526965562054
35,49,14.613597,0.14285714285714285,0.3089634138719798
25,49,15.225046,0.24489795918367346,0.3098207279531599
-1,49,15.787006,0.5102040816326531,0.31817441102523514
25,49,16.390908,0.24489795918367346,0.3167093786529988
17,49,17.008238,0.32653061224489793,0.3208214141985447
27,49,17.618027,0.22448979591836735,0.3183525722643713
15,49,18.21217,0.3469387755102041,0.3209090073810909
29,49,18.859398,0.20408163265306123,0.31767734270580666
25,49,19.5007,0.24489795918367346,0.3172940136106732
15,49,20.081522,0.3469387755102041,0.31977243051669463
31,49,20.698619,0.1836734693877551,0.3175735220634329
17,49,21.306674,0.32653061224489793,0.31865401787687764
29,49,21.907434,0.20408163265306123,0.3171388735885431
29,49,22.574263,0.20408163265306123,0.3153901612957312
21,49,23.17504,0.2857142857142857,0.31594378067603657
29,49,23.788014,0.20408163265306123,0.3144891222208965
23,49,24.376975,0.2653061224489796,0.31504060302288533
23,49,24.969501,0.2653061224489796,0.31564296796568403
7,49,25.555293,0.42857142857142855,0.3203826572264031
23,49,26.168522,0.2653061224489796,0.3205593370390259
15,49,26.764167,0.3469387755102041,0.32232720039781204
17,49,27.387953,0.32653061224489793,0.32303327817102173
