#{"t_start": 1677538090.2417965, "env_id": "DeepRMSADPP-v0"}
r,l,t,episode_service_blocking_rate,bit_rate_blocking_rate,failure,episode_failure,failure_slots,episode_failure_slots,failure_disjointness,episode_failure_disjointness,length_comparison,length_wp,length_bp,hops_wp,hops_bp,number_slots_wp,number_slots_bp,initial_slots_wp,initial_slots_bp,average_external_fragmentation_wp,average_external_fragmentation_bp
0,50,0.369672,0.5,0.477112676056338,0.5,"(0.5,)",0.0,0.0,0.5,0.5,0.45945945945945943,2550,3000,5,2,17,17,196,28,0.3726328919816224,0.3541498748597582
-6,50,0.721497,0.56,0.5188910891089109,0.53,"(0.56,)",0.04,0.08,0.49,0.48,0.4615384615384615,3600,4200,2,5,6,6,45,222,0.47677196449631243,0.4500767497347161
-32,50,1.060484,0.82,0.6438820767023219,0.6266666666666667,"(0.82,)",0.23333333333333334,0.62,0.3933333333333333,0.2,0.21951219512195122,1350,4800,2,4,5,8,30,195,0.5289461137084918,0.5372547131762574
-34,50,1.37064,0.84,0.7040252565114443,0.68,"(0.84,)",0.32,0.58,0.36,0.26,0.43636363636363634,3600,4650,3,7,9,9,304,236,0.5490906709772713,0.6039330366816966
-40,50,1.678112,0.9,0.7492565346689622,0.724,"(0.9,)",0.392,0.68,0.332,0.22,0.5,900,900,2,2,5,5,64,72,0.6127332463128451,0.6024860974974316
-38,50,1.973462,0.88,0.7706954724975806,0.75,"(0.88,)",0.45,0.74,0.3,0.14,0.16666666666666669,1050,5250,1,6,3,6,12,66,0.6376919786109717,0.6202625597635347
-38,50,2.280299,0.88,0.7882896004660855,0.7685714285714286,"(0.88,)",0.47714285714285715,0.64,0.2914285714285714,0.24,0.14634146341463414,900,5250,2,7,6,15,0,45,0.6567447730201159,0.6505657390017622
-20,50,2.610581,0.7,0.7807706770637481,0.76,"(0.7,)",0.475,0.46,0.285,0.24,0.7142857142857143,750,300,3,1,5,4,102,26,0.714063242400914,0.6106064786636795
-42,50,2.911622,0.92,0.7967118261360429,0.7777777777777778,"(0.92,)",0.49333333333333335,0.64,0.28444444444444444,0.28,0.4615384615384615,900,1050,2,2,4,4,30,75,0.6217837448944706,0.6960332526168828
-40,50,3.200846,0.9,0.8096845405682109,0.79,"(0.9,)",0.518,0.74,0.272,0.16,0.4,3300,4950,5,5,7,7,17,188,0.6608121724566145,0.6858706811471904
-32,50,3.521539,0.82,0.8129011738853872,0.7927272727272727,"(0.82,)",0.5272727272727272,0.62,0.26545454545454544,0.2,0.39534883720930236,2550,3900,2,4,7,7,7,107,0.7180298663256198,0.6959073809890448
