#{"t_start": 1669661942.4439247, "env_id": "DeepRMSA-v0"}
r,l,t,episode_service_blocking_rate,bit_rate_blocking_rate
49,49,1.23113,0.0,0.0
49,49,1.684287,0.0,0.0
31,49,2.467241,0.1836734693877551,0.07918988426918132
13,49,2.920675,0.3673469387755102,0.15502130738924177
9,49,3.413453,0.40816326530612246,0.22062226793520184
11,49,3.95062,0.3877551020408163,0.2549207873259722
-7,49,4.424372,0.5714285714285714,0.31072795168503065
13,49,4.956264,0.3673469387755102,0.32599635848674896
11,49,5.466102,0.3877551020408163,0.34404680221010436
-3,49,5.905426,0.5306122448979592,0.3676973705646607
15,49,6.487195,0.3469387755102041,0.3717317839568388
11,49,6.96534,0.3877551020408163,0.38016528925619836
3,49,7.455406,0.46938775510204084,0.3923866402348749
13,49,7.98414,0.3673469387755102,0.39388857834917085
9,49,8.470854,0.40816326530612246,0.39813686226710776
-1,49,8.976605,0.5102040816326531,0.4090085320409701
13,49,9.49974,0.3673469387755102,0.40984825377459205
15,49,9.993176,0.3469387755102041,0.40778865534120357
5,49,10.505161,0.4489795918367347,0.41442872762060956
15,49,10.996145,0.3469387755102041,0.41521513063824256
21,49,11.54525,0.2857142857142857,0.4108920071706744
9,49,12.027952,0.40816326530612246,0.4129091392921558
9,49,12.491303,0.40816326530612246,0.4142227496185794
3,49,12.974967,0.46938775510204084,0.4200295308922935
1,49,13.438211,0.4897959183673469,0.42584795321637425
19,49,14.029782,0.30612244897959184,0.42374660950214366
13,49,14.584429,0.3673469387755102,0.4232510412265347
-9,49,15.036322,0.5918367346938775,0.43244249930161094
9,49,15.560907,0.40816326530612246,0.4342235410484669
27,49,16.037765,0.22448979591836735,0.42843624577165296
29,49,16.519379,0.20408163265306123,0.42192712005303423
17,49,17.01192,0.32653061224489793,0.42148785642093656
15,49,17.527331,0.3469387755102041,0.4215929904460175
7,49,18.058349,0.42857142857142855,0.424939444038602
3,49,18.529074,0.46938775510204084,0.42810110054094386
25,49,19.016611,0.24489795918367346,0.42487893957426703
23,49,19.547338,0.2653061224489796,0.42277666280601556
13,49,20.014383,0.3673469387755102,0.4239534563481135
19,49,20.49122,0.30612244897959184,0.42268870929881625
5,49,20.995946,0.4489795918367347,0.4248135958644007
-1,49,21.438792,0.5102040816326531,0.42934415145368493
21,49,21.967182,0.2857142857142857,0.4273147608501379
7,49,22.420683,0.42857142857142855,0.4290407958382769
1,49,22.860111,0.4897959183673469,0.4323967285627347
7,49,23.377376,0.42857142857142855,0.43409575780444976
19,49,23.844647,0.30612244897959184,0.4334801449172409
23,49,24.352799,0.2653061224489796,0.4318026950729394
23,49,24.880716,0.2653061224489796,0.4295006409032645
13,49,25.379988,0.3673469387755102,0.4288228130979941
13,49,25.953138,0.3673469387755102,0.4289147134134331
17,49,26.45507,0.32653061224489793,0.4282121539569826
23,49,26.976938,0.2653061224489796,0.4256425447165744
17,49,27.490757,0.32653061224489793,0.425046745173793
19,49,27.994797,0.30612244897959184,0.4246962332928311
13,49,28.494369,0.3673469387755102,0.42516426774151234
15,49,28.989211,0.3469387755102041,0.424948285662383
3,49,29.418741,0.46938775510204084,0.42730575965596146
7,49,29.94168,0.42857142857142855,0.42833477506205087
11,49,30.372232,0.3877551020408163,0.4291315624323139
-3,49,30.842099,0.5306122448979592,0.4323723237997399
3,49,31.340514,0.46938775510204084,0.434308256210162
11,49,31.838203,0.3877551020408163,0.43568278210836936
15,49,32.357331,0.3469387755102041,0.43537974123804124
15,49,32.853517,0.3469387755102041,0.43501357512422517
17,49,33.326006,0.32653061224489793,0.4344779928778234
1,49,33.841264,0.4897959183673469,0.4353256819198092
-1,49,34.31118,0.5102040816326531,0.43756667612774414
5,49,34.834521,0.4489795918367347,0.4386059679465229
9,49,35.304459,0.40816326530612246,0.43868930309865845
15,49,35.778246,0.3469387755102041,0.43824583735013056
27,49,36.341695,0.22448979591836735,0.4362413627461848
5,49,36.812584,0.4489795918367347,0.4373654188461416
13,49,37.263613,0.3673469387755102,0.437674723812777
-1,49,37.747412,0.5102040816326531,0.4387569367369589
17,49,38.202566,0.32653061224489793,0.43831606989501726
15,49,38.705446,0.3469387755102041,0.4378797248035701
7,49,39.165421,0.42857142857142855,0.43880445492818965
13,49,39.633329,0.3673469387755102,0.4386884169591677
7,49,40.150428,0.42857142857142855,0.43958312564383745
-11,49,40.589034,0.6122448979591837,0.44258102591845766
5,49,41.110218,0.4489795918367347,0.44325562385428763
17,49,41.599318,0.32653061224489793,0.4425442052258356
-5,49,42.042402,0.5510204081632653,0.44470380990749736
