#{"t_start": 1677546772.5904248, "env_id": "DeepRMSADPPKSP-v0"}
r,l,t,episode_service_blocking_rate,bit_rate_blocking_rate,failure,episode_failure,failure_slots,episode_failure_slots,failure_disjointness,episode_failure_disjointness,length_comparison,length_wp,length_bp,hops_wp,hops_bp,number_slots_wp,number_slots_bp,initial_slots_wp,initial_slots_bp,average_external_fragmentation_wp,average_external_fragmentation_bp
50,50,0.318766,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0,0.41666666666666663,1500,2100,2,2,8,14,182,254,0.2607133780064408,0.3006865903214393
50,50,0.66134,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0,0.4615384615384615,900,1050,2,2,5,5,122,0,0.39188761716003695,0.435725364082934
40,50,0.980385,0.1,0.04748238977302374,0.03333333333333333,"(0.1,)",0.03333333333333333,0.1,0.0,0.0,0.4642857142857143,1950,2250,2,2,9,17,146,0,0.533235269344519,0.4042703528597751
24,50,1.347584,0.26,0.10864246250986583,0.09,"(0.26,)",0.09,0.26,0.0,0.0,0.28571428571428575,300,750,1,3,4,5,36,294,0.4089505322356134,0.5493222746929965
22,50,1.705154,0.28,0.15492252308655502,0.128,"(0.28,)",0.128,0.28,0.0,0.0,0.2962962962962963,1200,2850,3,2,4,9,40,108,0.6222484573165723,0.5458919683301582
26,50,2.065237,0.24,0.17152721470980567,0.14666666666666667,"(0.24,)",0.14666666666666667,0.24,0.0,0.0,0.25,1050,3150,1,3,3,6,15,53,0.5725797278384568,0.6120743319361517
40,50,2.428779,0.1,0.1677907992919085,0.14,"(0.1,)",0.14,0.1,0.0,0.0,0.29090909090909095,2400,5850,1,5,14,14,39,262,0.6336818984274586,0.6312028668279107
40,50,2.759475,0.1,0.1645852712411186,0.135,"(0.1,)",0.135,0.1,0.0,0.0,0.32432432432432434,1800,3750,3,4,5,8,173,217,0.656306886046718,0.626170396832338
26,50,3.111955,0.24,0.1785386677956534,0.14666666666666667,"(0.24,)",0.14666666666666667,0.24,0.0,0.0,0.14285714285714285,600,3600,1,3,5,17,3,200,0.719348667448157,0.6469470348568241
32,50,3.453501,0.18,0.185564371640645,0.15,"(0.18,)",0.15,0.18,0.0,0.0,0.4583333333333333,3300,3900,5,2,7,7,304,16,0.6674676740697756,0.5900834627638222
36,50,3.793369,0.14,0.1839761753310588,0.14909090909090908,"(0.14,)",0.14909090909090908,0.14,0.0,0.0,0.34545454545454546,2850,5400,2,4,17,17,14,340,0.6688806364296629,0.6465088096158007
38,50,4.122382,0.12,0.17968997989630728,0.14666666666666667,"(0.12,)",0.14666666666666667,0.12,0.0,0.0,0.20833333333333334,750,2850,1,3,5,12,0,270,0.7383022673361455,0.6885871193884422
40,50,4.460212,0.1,0.17703929713634525,0.14307692307692307,"(0.1,)",0.14307692307692307,0.1,0.0,0.0,0.3333333333333333,600,1200,1,3,4,5,8,171,0.6277417773611907,0.6650878303857347
22,50,4.77577,0.28,0.18812512815839239,0.15285714285714286,"(0.28,)",0.15285714285714286,0.28,0.0,0.0,0.35416666666666663,2550,4650,4,3,13,13,319,53,0.6780020958553976,0.6108205231844922
22,50,5.108798,0.28,0.19834359736674453,0.16133333333333333,"(0.28,)",0.16133333333333333,0.28,0.0,0.0,0.41860465116279066,2700,3750,3,3,17,17,331,334,0.6523651410264951,0.6736492807556198
28,50,5.455036,0.22,0.20272302620439628,0.165,"(0.22,)",0.165,0.22,0.0,0.0,0.4615384615384615,900,1050,2,2,4,4,39,0,0.668737080167852,0.6743512108475475
16,50,5.775556,0.34,0.21494856418052433,0.17529411764705882,"(0.34,)",0.17529411764705882,0.34,0.0,0.0,0.28571428571428575,300,750,1,3,3,4,8,48,0.6891910228012482,0.6976168692157013
24,50,6.122137,0.26,0.22233593901642815,0.18,"(0.26,)",0.18,0.26,0.0,0.0,0.25925925925925924,1050,3000,1,4,3,6,7,215,0.7245626001034141,0.7275815238234594
8,50,6.434015,0.42,0.23755209292205728,0.19263157894736843,"(0.42,)",0.19263157894736843,0.42,0.0,0.0,0.20833333333333334,750,2850,1,3,3,6,21,8,0.7701156049302936,0.7212572938596531
28,50,6.75544,0.22,0.2382170462579738,0.194,"(0.22,)",0.194,0.22,0.0,0.0,0.28888888888888886,1950,4800,3,4,8,14,177,326,0.723909462357421,0.684774165702621
32,50,7.109385,0.18,0.23758763230016808,0.19333333333333333,"(0.18,)",0.19333333333333333,0.18,0.0,0.0,0.35135135135135137,1950,3600,4,3,4,6,169,26,0.7353754498217424,0.7189904963103846
38,50,7.4628,0.12,0.2336,0.19,"(0.12,)",0.19,0.12,0.0,0.0,0.3653846153846154,2850,4950,2,6,11,11,10,307,0.7112564984702863,0.70360457099709
20,50,7.77916,0.3,0.24038541234977207,0.19478260869565217,"(0.3,)",0.19478260869565217,0.3,0.0,0.0,0.42857142857142855,1800,2400,2,2,6,10,26,123,0.7262363131007823,0.7298172596100936
18,50,8.097843,0.32,0.2469452865407273,0.2,"(0.32,)",0.2,0.32,0.0,0.0,0.14285714285714285,150,900,1,3,5,6,0,102,0.7701058733604005,0.6883171322544666
32,50,8.436986,0.18,0.24745706610991586,0.1992,"(0.18,)",0.1992,0.18,0.0,0.0,0.4615384615384615,3600,4200,2,5,7,7,13,146,0.704012652258035,0.7090054155795349
30,50,8.774258,0.2,0.24830923793187945,0.19923076923076924,"(0.2,)",0.19923076923076924,0.2,0.0,0.0,0.28571428571428575,300,750,1,3,4,4,19,70,0.6561807306596555,0.7338767250775171
34,50,9.129335,0.16,0.2472830422834855,0.19777777777777777,"(0.16,)",0.19777777777777777,0.16,0.0,0.0,0.41666666666666663,1500,2100,2,2,9,16,206,68,0.7601174448775772,0.7291944378595943
34,50,9.464951,0.16,0.24497106797885912,0.19642857142857142,"(0.16,)",0.19642857142857142,0.16,0.0,0.0,0.4642857142857143,1950,2250,2,2,7,12,197,185,0.733354341231338,0.7196708587768976
20,50,9.786246,0.3,0.24960368135981328,0.2,"(0.3,)",0.2,0.3,0.0,0.0,0.4615384615384615,3600,4200,4,3,9,9,240,31,0.7190680362723446,0.6474930267932986
34,50,10.133316,0.16,0.2475708275939094,0.19866666666666666,"(0.16,)",0.19866666666666666,0.16,0.0,0.0,0.4528301886792453,3600,4350,3,5,9,9,279,344,0.7325791997054681,0.7003761479059882
32,50,10.471237,0.18,0.24687717489367186,0.19806451612903225,"(0.18,)",0.19806451612903225,0.18,0.0,0.0,0.28571428571428575,1200,3000,1,3,4,9,0,255,0.6701286539775724,0.739151621320237
40,50,10.820403,0.1,0.2434150363540964,0.195,"(0.1,)",0.195,0.1,0.0,0.0,0.3333333333333333,600,1200,1,3,3,4,25,56,0.7123860132386025,0.7055751046700641
36,50,11.158482,0.14,0.24134940552901618,0.19333333333333333,"(0.14,)",0.19333333333333333,0.14,0.0,0.0,0.32142857142857145,1350,2850,1,3,8,15,4,147,0.7033799638719732,0.7296214558787284
34,50,11.48268,0.16,0.24066236054022314,0.1923529411764706,"(0.16,)",0.1923529411764706,0.16,0.0,0.0,0.4615384615384615,3600,4200,2,5,11,11,52,240,0.6984980954193091,0.7080309135518152
32,50,11.81638,0.18,0.2404273289656904,0.192,"(0.18,)",0.192,0.18,0.0,0.0,0.4864864864864865,2700,2850,4,3,9,9,114,251,0.7449545336831108,0.7209704565522653
34,50,12.169878,0.16,0.23921716890915157,0.19111111111111112,"(0.16,)",0.19111111111111112,0.16,0.0,0.0,0.4615384615384615,3600,4200,2,5,9,9,121,251,0.6985595415424407,0.7097248730759451
26,50,12.534171,0.24,0.24098917923035004,0.19243243243243244,"(0.24,)",0.19243243243243244,0.24,0.0,0.0,0.4642857142857143,1950,2250,2,2,9,17,90,49,0.729353910007537,0.7109304065243256
22,50,12.86179,0.28,0.24374231992862794,0.19473684210526315,"(0.28,)",0.19473684210526315,0.28,0.0,0.0,0.2962962962962963,1200,2850,3,2,3,7,9,82,0.7594237678580752,0.7450054284725434
24,50,13.200592,0.26,0.24597641793613909,0.19641025641025642,"(0.26,)",0.19641025641025642,0.26,0.0,0.0,0.41666666666666663,1500,2100,2,2,4,7,31,43,0.757107968338488,0.7351624730233253
40,50,13.573426,0.1,0.24276226192045178,0.194,"(0.1,)",0.194,0.1,0.0,0.0,0.2105263157894737,1200,4500,2,5,5,11,4,290,0.7359737703716855,0.7323662230140163
32,50,13.90503,0.18,0.24204712870360987,0.19365853658536586,"(0.18,)",0.19365853658536586,0.18,0.0,0.0,0.41666666666666663,1500,2100,2,2,4,6,36,87,0.7683207277685964,0.7270252252790665
28,50,14.240107,0.22,0.24286552515069076,0.19428571428571428,"(0.22,)",0.19428571428571428,0.22,0.0,0.0,0.29729729729729726,1650,3900,3,4,6,11,137,248,0.7346900760154891,0.7410433344736894
34,50,14.592001,0.16,0.24223822013877264,0.19348837209302325,"(0.16,)",0.19348837209302325,0.16,0.0,0.0,0.30769230769230765,2400,5400,1,6,6,6,0,341,0.6299588931725099,0.7105526258108227
30,50,14.948139,0.2,0.24309867747347322,0.19363636363636363,"(0.2,)",0.19363636363636363,0.2,0.0,0.0,0.42857142857142855,450,600,2,2,5,5,21,59,0.7512392053527261,0.7045312425263768
32,50,15.295248,0.18,0.24297662906644288,0.19333333333333333,"(0.18,)",0.19333333333333333,0.18,0.0,0.0,0.28571428571428575,300,750,1,3,4,4,30,64,0.6819412322644174,0.7459355968489186
36,50,15.625849,0.14,0.24160854364879203,0.19217391304347825,"(0.14,)",0.19217391304347825,0.14,0.0,0.0,0.36363636363636365,1800,3150,1,4,4,6,8,48,0.6522874755357508,0.6935431300287838
34,50,15.950136,0.16,0.2410912190963342,0.19148936170212766,"(0.16,)",0.19148936170212766,0.16,0.0,0.0,0.2962962962962963,1200,2850,3,2,4,10,150,16,0.7607863314320634,0.7508477898520873
30,50,16.278519,0.2,0.2416193638213559,0.19166666666666668,"(0.2,)",0.19166666666666668,0.2,0.0,0.0,0.5,2550,2550,3,3,8,8,338,284,0.7678364348625949,0.7333875983745587
26,50,16.609275,0.24,0.24258620293433047,0.1926530612244898,"(0.24,)",0.1926530612244898,0.24,0.0,0.0,0.5,900,900,2,2,4,4,97,86,0.7005511836509439,0.7292837682719936
28,50,16.96341,0.22,0.24339596578077466,0.1932,"(0.22,)",0.1932,0.22,0.0,0.0,0.3055555555555556,1650,3750,3,4,5,9,123,219,0.7387432606041123,0.7382437245617364
42,50,17.306949,0.08,0.24015580669641312,0.19098039215686274,"(0.08,)",0.19098039215686274,0.08,0.0,0.0,0.3333333333333333,600,1200,1,3,3,3,30,180,0.7079298740652062,0.7158105235862379
42,50,17.632012,0.08,0.23747562795670352,0.18884615384615386,"(0.08,)",0.18884615384615386,0.08,0.0,0.0,0.28571428571428575,300,750,1,3,4,4,40,77,0.6949916749933006,0.7477813478294149
18,50,17.954147,0.32,0.2407164435987019,0.19132075471698112,"(0.32,)",0.19132075471698112,0.32,0.0,0.0,0.28571428571428575,300,750,1,3,4,4,87,224,0.7362083748007645,0.734403484089182
30,50,18.294416,0.2,0.24080337135418833,0.19148148148148147,"(0.2,)",0.19148148148148147,0.2,0.0,0.0,0.42857142857142855,450,600,2,2,4,4,8,55,0.7557963638636392,0.7157942563433304
30,50,18.624627,0.2,0.24104464546250365,0.19163636363636363,"(0.2,)",0.19163636363636363,0.2,0.0,0.0,0.28571428571428575,300,750,1,3,5,6,85,149,0.6975752717359911,0.7499605361724638
38,50,18.949695,0.12,0.23972624323557806,0.19035714285714286,"(0.12,)",0.19035714285714286,0.12,0.0,0.0,0.42857142857142855,450,600,2,2,4,4,40,129,0.756076666354222,0.7185146966414736
26,50,19.326623,0.24,0.2406054647333414,0.1912280701754386,"(0.24,)",0.1912280701754386,0.24,0.0,0.0,0.25925925925925924,1050,3000,2,3,4,9,21,205,0.7535251713874163,0.7577770774883206
22,50,19.662873,0.28,0.24228683671775578,0.19275862068965519,"(0.28,)",0.19275862068965519,0.28,0.0,0.0,0.32432432432432434,1800,3750,3,4,5,8,122,53,0.7614947437380376,0.7324658779732987
26,50,20.002136,0.24,0.24321970707175164,0.1935593220338983,"(0.24,)",0.1935593220338983,0.24,0.0,0.0,0.25,1050,3150,1,3,4,10,0,274,0.7551760573834021,0.7193796181047261
32,50,20.340139,0.18,0.2431669800445594,0.19333333333333333,"(0.18,)",0.19333333333333333,0.18,0.0,0.0,0.423076923076923,3300,4500,3,4,11,11,94,248,0.7284113008680747,0.6911684328500014
18,50,20.655481,0.32,0.24609295850996923,0.19540983606557377,"(0.32,)",0.19540983606557377,0.32,0.0,0.0,0.4615384615384615,3600,4200,2,5,7,7,52,274,0.6963401533704969,0.7137386637813437
42,50,21.013152,0.08,0.24387251730188883,0.1935483870967742,"(0.08,)",0.1935483870967742,0.08,0.0,0.0,0.28571428571428575,300,750,1,3,5,6,62,95,0.7052659084519474,0.7534622743867848
32,50,21.347518,0.18,0.24337639588351215,0.19333333333333333,"(0.18,)",0.19333333333333333,0.18,0.0,0.0,0.393939393939394,1950,3000,3,2,7,13,60,0,0.7023765747261611,0.6652206600867159
28,50,21.671993,0.22,0.24348995241475668,0.19375,"(0.22,)",0.19375,0.22,0.0,0.0,0.28571428571428575,300,750,1,3,3,4,0,153,0.7079797194487657,0.7534137996458999
16,50,21.983615,0.34,0.24610331884630582,0.196,"(0.34,)",0.196,0.34,0.0,0.0,0.42857142857142855,450,600,2,2,3,3,8,3,0.7582606131763405,0.7276997611972236
36,50,22.324303,0.14,0.2447373607843042,0.19515151515151516,"(0.14,)",0.19515151515151516,0.14,0.0,0.0,0.28571428571428575,300,750,1,3,5,7,56,131,0.7099923052226494,0.7546111435995969
24,50,22.654453,0.26,0.2460925521312481,0.19611940298507463,"(0.26,)",0.19611940298507463,0.26,0.0,0.0,0.5,900,900,2,2,3,3,14,0,0.7115419243273823,0.7319649440414344
28,50,22.975858,0.22,0.24614516913114684,0.19647058823529412,"(0.22,)",0.19647058823529412,0.22,0.0,0.0,0.42857142857142855,450,600,2,2,4,4,102,51,0.7583464737782535,0.7286309824371593
40,50,23.341028,0.1,0.24433027830323675,0.19507246376811593,"(0.1,)",0.19507246376811593,0.1,0.0,0.0,0.41666666666666663,750,1050,1,3,6,6,11,87,0.6908784106671179,0.7328430280279954
30,50,23.6977,0.2,0.2439332636060039,0.19514285714285715,"(0.2,)",0.19514285714285715,0.2,0.0,0.0,0.41071428571428575,3450,4950,3,4,16,16,62,167,0.6841353571219937,0.6971312927189082
22,50,24.017013,0.28,0.2449390101796773,0.19633802816901408,"(0.28,)",0.19633802816901408,0.28,0.0,0.0,0.20833333333333334,750,2850,1,3,3,7,0,154,0.7716635073579604,0.7562548237155272
34,50,24.364965,0.16,0.24479418128498112,0.19583333333333333,"(0.16,)",0.19583333333333333,0.16,0.0,0.0,0.2962962962962963,1200,2850,3,2,3,7,58,128,0.7583618537336477,0.7526589645228996
32,50,24.701707,0.18,0.24441224983020648,0.19561643835616438,"(0.18,)",0.19561643835616438,0.18,0.0,0.0,0.17857142857142855,750,3450,1,4,5,12,125,248,0.7704359025958994,0.7421913356180915
22,50,25.034577,0.28,0.2456965061087109,0.19675675675675675,"(0.28,)",0.19675675675675675,0.28,0.0,0.0,0.34545454545454546,2850,5400,2,4,12,12,147,278,0.6988057582567164,0.6691686932271691
40,50,25.400136,0.1,0.24406418810884592,0.19546666666666668,"(0.1,)",0.19546666666666668,0.1,0.0,0.0,0.41666666666666663,1500,2100,2,2,7,12,13,170,0.7749924752535482,0.7420368861157773
30,50,25.756454,0.2,0.24399669834282206,0.1955263157894737,"(0.2,)",0.1955263157894737,0.2,0.0,0.0,0.2962962962962963,1200,2850,3,2,3,6,72,66,0.7547897849486054,0.7539361185608977
30,50,26.094134,0.2,0.24429834087985164,0.19558441558441558,"(0.2,)",0.19558441558441558,0.2,0.0,0.0,0.2962962962962963,1200,2850,3,2,5,12,170,72,0.7548614723378853,0.7539661060164358
2,50,26.413868,0.48,0.24814968969183474,0.19923076923076924,"(0.48,)",0.19923076923076924,0.48,0.0,0.0,0.25,1050,3150,2,3,5,13,100,343,0.7549839192756167,0.7386978100979625
28,50,26.764708,0.22,0.2476211969648913,0.19949367088607595,"(0.22,)",0.19949367088607595,0.22,0.0,0.0,0.42857142857142855,450,600,2,2,5,5,34,51,0.7508618261352473,0.7266717761734435
38,50,27.112729,0.12,0.24656780554412105,0.1985,"(0.12,)",0.1985,0.12,0.0,0.0,0.41666666666666663,1500,2100,2,2,4,6,149,134,0.77542526736185,0.7442591917790449
20,50,27.448791,0.3,0.24753958490416286,0.1997530864197531,"(0.3,)",0.1997530864197531,0.3,0.0,0.0,0.4615384615384615,3600,4200,2,5,10,10,231,201,0.6963619596353355,0.7202913658105857
26,50,27.825556,0.24,0.2483019991926413,0.2002439024390244,"(0.24,)",0.2002439024390244,0.24,0.0,0.0,0.47058823529411764,3600,4050,3,6,6,6,126,283,0.7201538831682198,0.740922386819829
24,50,28.183512,0.26,0.24960726805599623,0.20096385542168674,"(0.26,)",0.20096385542168674,0.26,0.0,0.0,0.47058823529411764,3600,4050,3,6,7,7,209,204,0.7200320871316764,0.7412484411804799
44,50,28.534715,0.06,0.24782232047410785,0.1992857142857143,"(0.06,)",0.1992857142857143,0.06,0.0,0.0,0.20833333333333334,750,2850,1,3,3,7,0,39,0.7860307145446083,0.751586979214404
