#{"t_start": 1673814465.509882, "env_id": "DeepRMSADPPKSP-v0"}
r,l,t,episode_service_blocking_rate,bit_rate_blocking_rate,failure,episode_failure,failure_slots,episode_failure_slots,failure_disjointness,episode_failure_disjointness
48,50,0.244202,0.02,0.013644366197183098,0.02,"(0.02,)",0.02,0.02,0.0,0.0
46,50,0.499148,0.04,0.027564356435643565,0.03,"(0.04,)",0.03,0.04,0.0,0.0
44,50,0.756748,0.06,0.036003130707018,0.04,"(0.06,)",0.04,0.06,0.0,0.0
30,50,1.001254,0.2,0.07355958958168902,0.08,"(0.2,)",0.08,0.2,0.0,0.0
42,50,1.284605,0.08,0.07234308968539678,0.08,"(0.08,)",0.08,0.08,0.0,0.0
42,50,1.568929,0.08,0.07331362958700599,0.08,"(0.08,)",0.08,0.08,0.0,0.0
42,50,1.844726,0.08,0.07775561879579626,0.08,"(0.08,)",0.08,0.08,0.0,0.0
34,50,2.109808,0.16,0.08941753913749084,0.09,"(0.16,)",0.09,0.16,0.0,0.0
36,50,2.410109,0.14,0.09693409539937906,0.09555555555555556,"(0.14,)",0.09555555555555556,0.14,0.0,0.0
40,50,2.705481,0.1,0.09775723061172255,0.096,"(0.1,)",0.096,0.1,0.0,0.0
42,50,2.977287,0.08,0.0977707743017406,0.09454545454545454,"(0.08,)",0.09454545454545454,0.08,0.0,0.0
46,50,3.237522,0.04,0.0924902126759073,0.09,"(0.04,)",0.09,0.04,0.0,0.0
42,50,3.540084,0.08,0.09191388204732322,0.08923076923076922,"(0.08,)",0.08923076923076922,0.08,0.0,0.0
38,50,3.802281,0.12,0.09450684650611743,0.09142857142857143,"(0.12,)",0.09142857142857143,0.12,0.0,0.0
42,50,4.076312,0.08,0.09263113187513272,0.09066666666666667,"(0.08,)",0.09066666666666667,0.08,0.0,0.0
44,50,4.35747,0.06,0.09037578558409609,0.08875,"(0.06,)",0.08875,0.06,0.0,0.0
44,50,4.670024,0.06,0.08881655645815652,0.08705882352941176,"(0.06,)",0.08705882352941176,0.06,0.0,0.0
34,50,4.933206,0.16,0.09188120908401122,0.09111111111111111,"(0.16,)",0.09111111111111111,0.16,0.0,0.0
32,50,5.190623,0.18,0.09483840733736129,0.09578947368421052,"(0.18,)",0.09578947368421052,0.18,0.0,0.0
38,50,5.491403,0.12,0.09578093596333044,0.097,"(0.12,)",0.097,0.12,0.0,0.0
28,50,5.775616,0.22,0.10212285934921188,0.10285714285714286,"(0.22,)",0.10285714285714286,0.22,0.0,0.0
34,50,6.05202,0.16,0.10377556561085972,0.10545454545454545,"(0.16,)",0.10545454545454545,0.16,0.0,0.0
36,50,6.310925,0.14,0.1064235391628678,0.10695652173913044,"(0.14,)",0.10695652173913044,0.14,0.0,0.0
46,50,6.616889,0.04,0.10269529646937343,0.10416666666666667,"(0.04,)",0.10416666666666667,0.04,0.0,0.0
32,50,6.895615,0.18,0.10653588114728012,0.1072,"(0.18,)",0.1072,0.18,0.0,0.0
36,50,7.163051,0.14,0.10678142612104877,0.10846153846153846,"(0.14,)",0.10846153846153846,0.14,0.0,0.0
48,50,7.455456,0.02,0.10333599267204444,0.10518518518518519,"(0.02,)",0.10518518518518519,0.02,0.0,0.0
40,50,7.74718,0.1,0.10319277382905048,0.105,"(0.1,)",0.105,0.1,0.0,0.0
44,50,8.032082,0.06,0.10195297018803118,0.10344827586206896,"(0.06,)",0.10344827586206896,0.06,0.0,0.0
42,50,8.315481,0.08,0.10186303030947683,0.10266666666666667,"(0.08,)",0.10266666666666667,0.08,0.0,0.0
40,50,8.605796,0.1,0.10228637711045238,0.10258064516129033,"(0.1,)",0.10258064516129033,0.1,0.0,0.0
42,50,8.892044,0.08,0.10165155035854384,0.101875,"(0.08,)",0.101875,0.08,0.0,0.0
42,50,9.151565,0.08,0.1018594781058323,0.10121212121212121,"(0.08,)",0.10121212121212121,0.08,0.0,0.0
42,50,9.446844,0.08,0.10129888432178509,0.10058823529411764,"(0.08,)",0.10058823529411764,0.08,0.0,0.0
42,50,9.722627,0.08,0.10067340835939462,0.1,"(0.08,)",0.1,0.08,0.0,0.0
44,50,9.994846,0.06,0.0992727677082175,0.09888888888888889,"(0.06,)",0.09888888888888889,0.06,0.0,0.0
40,50,10.268817,0.1,0.09889197394711575,0.09891891891891892,"(0.1,)",0.09891891891891892,0.1,0.0,0.0
46,50,10.563369,0.04,0.0975053444880233,0.09736842105263158,"(0.04,)",0.09736842105263158,0.04,0.0,0.0
