#{"t_start": 1677549297.258883, "env_id": "DeepRMSADPPKSP-v0"}
r,l,t,episode_service_blocking_rate,bit_rate_blocking_rate,failure,episode_failure,failure_slots,episode_failure_slots,failure_disjointness,episode_failure_disjointness,length_comparison,length_wp,length_bp,hops_wp,hops_bp,number_slots_wp,number_slots_bp,initial_slots_wp,initial_slots_bp,average_external_fragmentation_wp,average_external_fragmentation_bp
50,50,0.30135,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0,0.41666666666666663,1500,2100,2,2,8,14,258,289,0.2629129791134029,0.3103230850531404
38,50,0.606927,0.12,0.06526732673267327,0.06,"(0.12,)",0.06,0.12,0.0,0.0,0.4615384615384615,900,1050,2,2,5,5,251,130,0.4663733468595489,0.4525476316971698
12,50,0.8903,0.38,0.1997912861987999,0.16666666666666666,"(0.38,)",0.16666666666666666,0.38,0.0,0.0,0.2647058823529412,1350,3750,2,4,5,8,328,344,0.5372104959481208,0.5163881578324372
-8,50,1.174399,0.58,0.3060773480662983,0.27,"(0.58,)",0.27,0.58,0.0,0.0,0.16666666666666669,300,1500,1,3,4,7,146,256,0.5049670426125509,0.5982273793136196
-10,50,1.4518,0.6,0.37445609641571453,0.336,"(0.6,)",0.336,0.6,0.0,0.0,0.2962962962962963,1200,2850,3,2,4,9,251,260,0.6382093845160397,0.585993369784805
-2,50,1.74537,0.52,0.4078413935605367,0.36666666666666664,"(0.52,)",0.36666666666666664,0.52,0.0,0.0,0.25,1050,3150,1,3,3,6,37,125,0.6203151850007435,0.6860059641776592
-10,50,2.004599,0.6,0.44663544491003204,0.4,"(0.6,)",0.4,0.6,0.0,0.0,0.4642857142857143,1950,2250,2,2,9,17,271,0,0.7019990707143778,0.6658502419483925
-12,50,2.276189,0.62,0.4707384170839353,0.4275,"(0.62,)",0.4275,0.62,0.0,0.0,0.28571428571428575,300,750,1,3,4,5,77,135,0.6871472773172834,0.6752516220325955
-12,50,2.548339,0.62,0.49282034998588764,0.4488888888888889,"(0.62,)",0.4488888888888889,0.62,0.0,0.0,0.37735849056603776,3000,4950,3,4,10,10,219,46,0.6642704680166506,0.6517273433247559
-6,50,2.818714,0.56,0.5078224980803686,0.46,"(0.56,)",0.46,0.56,0.0,0.0,0.2962962962962963,1200,2850,3,2,3,6,201,85,0.7063256641512289,0.6846612434768857
-16,50,3.071487,0.66,0.526123286879084,0.4781818181818182,"(0.66,)",0.4781818181818182,0.66,0.0,0.0,0.42222222222222217,2850,3900,2,5,17,17,40,103,0.708933713151686,0.7113719327046069
-20,50,3.323788,0.7,0.5463178499629668,0.49666666666666665,"(0.7,)",0.49666666666666665,0.7,0.0,0.0,0.4727272727272727,3900,4350,2,4,6,6,66,283,0.4921066645415847,0.7216142749355129
-8,50,3.593734,0.58,0.555183864524746,0.5030769230769231,"(0.58,)",0.5030769230769231,0.58,0.0,0.0,0.5,900,900,2,2,5,5,108,9,0.7630012211688293,0.7135931060111613
-16,50,3.855371,0.66,0.5673942266068215,0.5142857142857142,"(0.66,)",0.5142857142857142,0.66,0.0,0.0,0.3777777777777777,2550,4200,4,3,13,13,94,44,0.722619173380482,0.7374761314054264
-18,50,4.116547,0.68,0.580494797196857,0.5253333333333333,"(0.68,)",0.5253333333333333,0.68,0.0,0.0,0.28571428571428575,300,750,1,3,4,5,17,244,0.7680376538382645,0.7365410747497526
-14,50,4.396059,0.64,0.5879306395227234,0.5325,"(0.64,)",0.5325,0.64,0.0,0.0,0.4615384615384615,900,1050,2,2,4,4,25,29,0.7714685462547473,0.7098470441129924
6,50,4.702757,0.44,0.5837569132912396,0.5270588235294118,"(0.44,)",0.5270588235294118,0.44,0.0,0.0,0.28571428571428575,300,750,1,3,3,4,19,148,0.7633529747797392,0.7579329016124184
4,50,4.992876,0.46,0.5844876568262427,0.5233333333333333,"(0.46,)",0.5233333333333333,0.46,0.0,0.0,0.25925925925925924,1050,3000,1,4,3,6,26,351,0.7432034784344497,0.7516414365725897
