#{"t_start": 1677588838.6848063, "env_id": "DeepRMSADPP-v0"}
r,l,t,episode_service_blocking_rate,bit_rate_blocking_rate,failure,episode_failure,failure_slots,episode_failure_slots,failure_disjointness,episode_failure_disjointness,length_comparison,length_wp,length_bp,hops_wp,hops_bp,number_slots_wp,number_slots_bp,initial_slots_wp,initial_slots_bp,average_external_fragmentation_wp,average_external_fragmentation_bp
6,50,0.41632,0.44,0.4240023474178404,0.44,"(0.44,)",0.0,0.0,0.44,0.44,0.6578947368421052,1275,663,2,2,8,6,71,23,0.30706883929241297,0.5096181057750845
14,50,0.678962,0.36,0.40649504950495047,0.4,"(0.36,)",0.0,0.0,0.4,0.36,0.4789272030651341,1000,1088,2,3,5,5,63,39,0.30120567348828825,0.1555748204569397
12,50,1.406135,0.38,0.3950430472214975,0.3933333333333333,"(0.38,)",0.0,0.0,0.3933333333333333,0.38,0.6666666666666666,550,275,2,1,5,5,8,11,0.27509788182599815,0.16231459567853154
18,50,1.680964,0.32,0.3622336227308603,0.375,"(0.32,)",0.0,0.0,0.375,0.32,0.42000000000000004,525,725,1,2,4,5,66,48,0.1373229991564349,0.2975589740888152
18,50,1.98358,0.32,0.35432775082172485,0.364,"(0.32,)",0.0,0.0,0.364,0.32,0.4200244200244201,688,950,2,2,7,7,148,209,0.1772003561656288,0.25439342462593034
12,50,2.263628,0.38,0.36565270839327285,0.36666666666666664,"(0.38,)",0.0,0.0,0.36666666666666664,0.38,0.536,1675,1450,3,3,4,4,229,87,0.2835150671984707,0.21572248607166367
20,50,2.57395,0.3,0.3563985927801555,0.35714285714285715,"(0.3,)",0.0,0.0,0.35714285714285715,0.3,0.3595505617977528,800,1425,1,3,6,8,4,209,0.21105409232143518,0.2853654288322165
4,50,2.84621,0.46,0.36962416133948184,0.37,"(0.46,)",0.0,0.0,0.37,0.46,0.3870967741935484,900,1425,2,3,6,8,75,292,0.36378802067365085,0.2854852790946838
20,50,3.169748,0.3,0.35914126446514255,0.3622222222222222,"(0.3,)",0.0,0.0,0.3622222222222222,0.3,0.3763440860215054,875,1450,2,3,7,9,11,312,0.34810486107028976,0.35269675424216346
24,50,3.475737,0.26,0.35383606347581265,0.352,"(0.26,)",0.0,0.0,0.352,0.26,0.3763440860215054,875,1450,1,3,3,4,33,149,0.4057742004866684,0.3888209324154297
14,50,3.792977,0.36,0.3571820968021743,0.3527272727272727,"(0.36,)",0.007272727272727273,0.08,0.34545454545454546,0.28,0.3333333333333333,275,550,1,2,4,4,58,99,0.37053008207622423,0.47275476638633596
18,50,4.125349,0.32,0.351986562268543,0.35,"(0.32,)",0.011666666666666667,0.06,0.3383333333333333,0.26,0.5149330587023687,1500,1413,3,3,7,7,309,312,0.476899750053108,0.3645611887303626
2,50,4.431907,0.48,0.3604626940656055,0.36,"(0.48,)",0.015384615384615385,0.06,0.3446153846153846,0.42,0.17988757026858215,288,1313,1,3,4,7,9,149,0.24527553627343038,0.3494118412862197
14,50,4.737695,0.36,0.3597092798067941,0.36,"(0.36,)",0.017142857142857144,0.04,0.34285714285714286,0.32,0.45945945945945943,850,1000,2,2,5,5,66,58,0.5171233443833261,0.4194848674317416
14,50,5.083132,0.36,0.36016139307708644,0.36,"(0.36,)",0.018666666666666668,0.04,0.3413333333333333,0.32,0.605263157894737,1150,750,2,2,7,7,273,16,0.48321234486868725,0.4736036408730885
24,50,5.39997,0.26,0.3551587103970997,0.35375,"(0.26,)",0.02125,0.06,0.3325,0.2,0.41666666666666663,1000,1400,2,3,4,6,257,273,0.46073075782930406,0.45089156674363445
26,50,5.763549,0.24,0.3454547150278397,0.34705882352941175,"(0.24,)",0.02235294117647059,0.04,0.3247058823529412,0.2,0.6448435689455387,1113,613,3,2,4,3,275,0,0.49492231138389425,0.39858828985633266
26,50,6.113805,0.24,0.34147976919412043,0.3411111111111111,"(0.24,)",0.024444444444444446,0.06,0.31666666666666665,0.18,0.4035087719298246,575,850,1,2,3,3,15,26,0.5007516651020276,0.45350902375017854
14,50,6.464276,0.36,0.34459990962191833,0.34210526315789475,"(0.36,)",0.02736842105263158,0.08,0.31473684210526315,0.28,0.6203037569944044,776,475,2,1,3,3,7,0,0.556426629685131,0.5027480773098023
