#{"t_start": 1672836540.6385176, "env_id": "DeepRMSADPP-v0"}
r,l,t,episode_service_blocking_rate,bit_rate_blocking_rate,failure,episode_failure,failure_slots,episode_failure_slots,failure_disjointness,episode_failure_disjointness
8,50,0.446682,0.42,0.43500586854460094,0.42,"(0.42,)",0.0,0.0,0.42,0.42
-8,50,0.694227,0.58,0.5064554455445545,0.5,"(0.58,)",0.0,0.0,0.5,0.58
-4,50,1.386568,0.54,0.5291938429428646,0.5133333333333333,"(0.54,)",0.03333333333333333,0.1,0.48,0.44
-16,50,1.660764,0.66,0.56681136543015,0.55,"(0.66,)",0.1,0.3,0.45,0.36
-34,50,1.907063,0.84,0.6171857880732509,0.608,"(0.84,)",0.156,0.38,0.452,0.46
-24,50,2.13823,0.74,0.6352104203175267,0.63,"(0.74,)",0.18,0.3,0.45,0.44
-26,50,2.419013,0.76,0.6597127299616824,0.6485714285714286,"(0.76,)",0.18857142857142858,0.24,0.46,0.52
-20,50,2.65833,0.7,0.6709679973083698,0.655,"(0.7,)",0.1925,0.22,0.4625,0.48
-18,50,2.935255,0.68,0.6791384419983065,0.6577777777777778,"(0.68,)",0.2088888888888889,0.34,0.4488888888888889,0.34
-16,50,3.204336,0.66,0.6799334527770668,0.658,"(0.66,)",0.214,0.26,0.444,0.4
-24,50,3.462488,0.74,0.6866940380500781,0.6654545454545454,"(0.74,)",0.23636363636363636,0.46,0.4290909090909091,0.28
-32,50,3.680676,0.82,0.7015659718548302,0.6783333333333333,"(0.82,)",0.245,0.34,0.43333333333333335,0.48
-22,50,3.939363,0.72,0.7062088740212477,0.6815384615384615,"(0.72,)",0.24461538461538462,0.24,0.4369230769230769,0.48
-20,50,4.169906,0.7,0.7050989952382037,0.6828571428571428,"(0.7,)",0.2557142857142857,0.4,0.42714285714285716,0.3
-22,50,4.454558,0.72,0.7114886387768103,0.6853333333333333,"(0.72,)",0.2653333333333333,0.4,0.42,0.32
-20,50,4.695035,0.7,0.7120105972929096,0.68625,"(0.7,)",0.2725,0.38,0.41375,0.32
-24,50,4.95705,0.74,0.7157926152526091,0.6894117647058824,"(0.74,)",0.2752941176470588,0.32,0.41411764705882353,0.42
-16,50,5.205841,0.66,0.7137160099521801,0.6877777777777778,"(0.66,)",0.26666666666666666,0.12,0.4211111111111111,0.54
