#{"t_start": 1677591622.3673334, "env_id": "DeepRMSADPPKSP-v0"}
r,l,t,episode_service_blocking_rate,bit_rate_blocking_rate,failure,episode_failure,failure_slots,episode_failure_slots,failure_disjointness,episode_failure_disjointness,length_comparison,length_wp,length_bp,hops_wp,hops_bp,number_slots_wp,number_slots_bp,initial_slots_wp,initial_slots_bp,average_external_fragmentation_wp,average_external_fragmentation_bp
50,50,0.424091,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0,0.41666666666666663,1500,2100,2,2,8,14,258,289,0.2629129791134029,0.3103230850531404
36,50,0.682959,0.14,0.07405940594059406,0.07,"(0.14,)",0.07,0.14,0.0,0.0,0.4615384615384615,900,1050,2,2,5,5,258,130,0.46069676354711986,0.4604011124679754
4,50,0.929637,0.46,0.2326115314375163,0.2,"(0.46,)",0.2,0.46,0.0,0.0,0.21951219512195122,1350,4800,2,4,5,8,284,235,0.49723393543686784,0.6350245860396095
-26,50,1.144259,0.76,0.3822415153906867,0.34,"(0.76,)",0.34,0.76,0.0,0.0,0.3333333333333333,600,1200,1,3,3,3,0,280,0.6655932419510381,0.5239245115508174
-24,50,1.353436,0.74,0.4603537329785569,0.42,"(0.74,)",0.42,0.74,0.0,0.0,0.43636363636363634,3600,4650,3,3,15,15,280,292,0.6013301364276504,0.5316962493991896
-16,50,1.5834,0.66,0.4990191719195459,0.46,"(0.66,)",0.46,0.66,0.0,0.0,0.25925925925925924,1050,3000,1,4,3,6,0,198,0.6434355888734522,0.6471271705650943
-16,50,1.8176,0.66,0.5342281578416653,0.48857142857142855,"(0.66,)",0.48857142857142855,0.66,0.0,0.0,0.5,900,900,2,2,6,6,37,342,0.6649855635566819,0.6393592440170126
-12,50,2.04604,0.62,0.5564945474696696,0.505,"(0.62,)",0.505,0.62,0.0,0.0,0.41666666666666663,1500,2100,2,2,9,17,334,303,0.651530263387053,0.6989771058148713
-34,50,2.247736,0.84,0.5927709568162574,0.5422222222222223,"(0.84,)",0.5422222222222223,0.84,0.0,0.0,0.46511627906976744,3000,3450,2,4,6,6,0,276,0.6797803469992261,0.6844448536169448
-18,50,2.489224,0.68,0.6098829024827234,0.556,"(0.68,)",0.556,0.68,0.0,0.0,0.4642857142857143,1950,2250,2,2,7,13,130,191,0.6922998691560842,0.7175666329665292
-20,50,2.706195,0.7,0.6260336552362228,0.5690909090909091,"(0.7,)",0.5690909090909091,0.7,0.0,0.0,0.19047619047619047,600,2550,1,2,4,10,0,49,0.6951752034153209,0.4975320249460107
-26,50,2.918768,0.76,0.6404348746164427,0.585,"(0.76,)",0.585,0.76,0.0,0.0,0.5,900,900,2,2,4,4,282,260,0.7392433710168906,0.6952506044365865
-30,50,3.126943,0.8,0.6537269173743092,0.6015384615384616,"(0.8,)",0.6015384615384616,0.8,0.0,0.0,0.3333333333333333,600,1200,1,3,2,3,3,339,0.7830760158524007,0.706028770175999
-28,50,3.34606,0.78,0.6670046250939828,0.6142857142857143,"(0.78,)",0.6142857142857143,0.78,0.0,0.0,0.42857142857142855,450,600,2,2,3,3,284,164,0.7201396927935335,0.710918924125265
-20,50,3.565034,0.7,0.6718623911658527,0.62,"(0.7,)",0.62,0.7,0.0,0.0,0.4642857142857143,1950,2250,2,2,7,13,143,28,0.7186869803349408,0.7490965745379425
-26,50,3.768458,0.76,0.6804477953846001,0.62875,"(0.76,)",0.62875,0.76,0.0,0.0,0.4615384615384615,900,1050,2,2,4,4,145,210,0.7592781725481017,0.6855907453976995
-28,50,3.985487,0.78,0.688755001352347,0.6376470588235295,"(0.78,)",0.6376470588235295,0.78,0.0,0.0,0.15384615384615385,300,1650,1,3,3,5,72,127,0.7261571247799731,0.7288216286142813
