#{"t_start": 1673383314.1753907, "env_id": "DeepRMSADPPKSP-v0"}
r,l,t,episode_service_blocking_rate,bit_rate_blocking_rate,failure,episode_failure,failure_slots,episode_failure_slots,failure_disjointness,episode_failure_disjointness
50,50,0.318638,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,0.639486,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,0.983835,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,1.348036,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,1.710755,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,2.094143,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
48,50,2.48596,0.02,0.004190288390436283,0.002857142857142857,"(0.02,)",0.002857142857142857,0.02,0.0,0.0
50,50,2.870615,0.0,0.003700991549072773,0.0025,"(0.0,)",0.0025,0.0,0.0,0.0
36,50,3.260187,0.14,0.020745131244707875,0.017777777777777778,"(0.14,)",0.017777777777777778,0.14,0.0,0.0
28,50,3.622866,0.22,0.04579920655234195,0.038,"(0.22,)",0.038,0.22,0.0,0.0
28,50,3.983447,0.22,0.0686694038050078,0.05454545454545454,"(0.22,)",0.05454545454545454,0.22,0.0,0.0
20,50,4.35442,0.3,0.09221246428949317,0.075,"(0.3,)",0.075,0.3,0.0,0.0
32,50,4.731811,0.18,0.10170446886985504,0.08307692307692308,"(0.18,)",0.08307692307692308,0.18,0.0,0.0
16,50,5.076706,0.34,0.12177895240482103,0.10142857142857142,"(0.34,)",0.10142857142857142,0.34,0.0,0.0
24,50,5.453539,0.26,0.13509237630070078,0.112,"(0.26,)",0.112,0.26,0.0,0.0
26,50,5.842673,0.24,0.1457625768154338,0.12,"(0.24,)",0.12,0.24,0.0,0.0
24,50,6.242471,0.26,0.15655515244215218,0.12823529411764706,"(0.26,)",0.12823529411764706,0.26,0.0,0.0
42,50,6.672363,0.08,0.15343826648550404,0.12555555555555556,"(0.08,)",0.12555555555555556,0.08,0.0,0.0
30,50,7.10286,0.2,0.1599357311419438,0.12947368421052632,"(0.2,)",0.12947368421052632,0.2,0.0,0.0
36,50,7.566111,0.14,0.1609853750764611,0.13,"(0.14,)",0.13,0.14,0.0,0.0
36,50,7.97516,0.14,0.1618263858395288,0.13047619047619047,"(0.14,)",0.13047619047619047,0.14,0.0,0.0
28,50,8.380991,0.22,0.16632760180995476,0.13454545454545455,"(0.22,)",0.13454545454545455,0.22,0.0,0.0
