#{"t_start": 1677536164.1129, "env_id": "DeepRMSADPP-v0"}
r,l,t,episode_service_blocking_rate,bit_rate_blocking_rate,failure,episode_failure,failure_slots,episode_failure_slots,failure_disjointness,episode_failure_disjointness,length_comparison,length_wp,length_bp,hops_wp,hops_bp,number_slots_wp,number_slots_bp,initial_slots_wp,initial_slots_bp,average_external_fragmentation_wp,average_external_fragmentation_bp
2,50,11.624165,0.48,0.46449530516431925,0.48,"(0.48,)",0.0,0.0,0.48,0.48,0.18421052631578946,1050,4650,2,5,4,9,68,54,0.20643468417266153,0.23807856336938665
-12,50,11.954492,0.62,0.540910891089109,0.55,"(0.62,)",0.0,0.0,0.55,0.62,0.5714285714285715,600,450,2,2,3,3,67,25,0.36667893352560343,0.46221345973207206
-20,50,13.076153,0.7,0.6228019827811114,0.6,"(0.7,)",0.15333333333333332,0.46,0.44666666666666666,0.24,0.2368421052631579,1350,4350,2,5,5,8,58,132,0.45910002451562526,0.4921070809386821
-32,50,13.385073,0.82,0.6756511444356749,0.655,"(0.82,)",0.27,0.62,0.385,0.2,0.16666666666666669,300,1500,1,3,5,9,9,63,0.5659543285005029,0.5783357714334968
-34,50,13.705458,0.84,0.713664110189388,0.692,"(0.84,)",0.316,0.5,0.376,0.34,0.28571428571428575,300,750,1,3,3,3,51,97,0.6078850210828979,0.5965881015015729
-40,50,13.997433,0.9,0.7448016111735934,0.7266666666666667,"(0.9,)",0.37,0.64,0.3566666666666667,0.26,0.7916666666666666,2850,750,3,1,8,4,104,0,0.6253245593204345,0.5597729549419501
-32,50,14.319006,0.82,0.7615569050126605,0.74,"(0.82,)",0.4057142857142857,0.62,0.3342857142857143,0.2,0.4642857142857143,3900,4500,4,6,6,6,15,14,0.5923017122148392,0.5483024111037039
-26,50,14.631738,0.76,0.7701229045856671,0.7425,"(0.76,)",0.4275,0.58,0.315,0.18,0.42857142857142855,450,600,2,2,5,5,14,9,0.6788200618796766,0.6569092664223148
-34,50,14.950186,0.84,0.7828640982218459,0.7533333333333333,"(0.84,)",0.45111111111111113,0.64,0.3022222222222222,0.2,0.07317073170731707,450,5700,2,5,4,11,0,290,0.6833881648114531,0.6692561204166879
-32,50,15.271841,0.82,0.7886645764013309,0.76,"(0.82,)",0.468,0.62,0.292,0.2,0.4482758620689655,3900,4800,2,5,7,7,15,44,0.5764475329550314,0.6598644122690305
-32,50,15.588947,0.82,0.7942520094836061,0.7654545454545455,"(0.82,)",0.48363636363636364,0.64,0.2818181818181818,0.18,0.39534883720930236,2550,3900,2,4,7,7,145,97,0.6931739226826767,0.6936455285428977
-36,50,15.900568,0.86,0.7999418050999895,0.7733333333333333,"(0.86,)",0.5016666666666667,0.7,0.27166666666666667,0.16,0.42857142857142855,450,600,2,2,5,5,22,44,0.7092996587988282,0.6992558077384483
-18,50,16.253656,0.68,0.7946059870847578,0.7661538461538462,"(0.68,)",0.49230769230769234,0.38,0.27384615384615385,0.3,0.5,900,900,2,2,5,5,70,103,0.7289550315888678,0.6944865833981766
-38,50,16.561053,0.88,0.8010070401676881,0.7742857142857142,"(0.88,)",0.4928571428571429,0.5,0.2814285714285714,0.38,0.05405405405405405,300,5250,1,6,4,10,56,300,0.6896852439823774,0.7022378968344611
-28,50,16.896893,0.78,0.8000743257591846,0.7746666666666666,"(0.78,)",0.492,0.48,0.2826666666666667,0.3,0.3170731707317073,1950,4200,2,5,7,13,73,241,0.7023478155212481,0.7048015894355943
-30,50,17.239974,0.8,0.7998764977142118,0.77625,"(0.8,)",0.49625,0.56,0.28,0.24,0.5135135135135136,2850,2700,3,4,9,9,22,269,0.7017349745001719,0.7111904325272892
-26,50,17.60461,0.76,0.8004122326783,0.7752941176470588,"(0.76,)",0.4894117647058824,0.38,0.2858823529411765,0.38,0.048780487804878044,300,5850,1,6,3,8,3,190,0.6929464671462012,0.7171608833930572
-26,50,17.945675,0.76,0.8021033685659332,0.7744444444444445,"(0.76,)",0.4855555555555556,0.42,0.28888888888888886,0.34,0.7407407407407407,3000,1050,4,1,6,3,104,0,0.7254539481739841,0.7081900027791359
-32,50,18.295489,0.82,0.8047582386316089,0.7768421052631579,"(0.82,)",0.4884210526315789,0.54,0.28842105263157897,0.28,0.38,2850,4650,3,6,6,6,56,88,0.6935496998845494,0.7197108633312896
-22,50,18.638294,0.72,0.8015030068080171,0.774,"(0.72,)",0.485,0.42,0.289,0.3,0.423076923076923,3300,4500,3,4,14,14,31,284,0.5980272490957492,0.6911545124559656
-26,50,18.992937,0.76,0.7991232984570659,0.7733333333333333,"(0.76,)",0.4838095238095238,0.46,0.2895238095238095,0.3,0.5714285714285715,600,450,2,2,5,5,94,16,0.7047379881007195,0.7189756538772045
-24,50,19.391391,0.74,0.7965031674208145,0.7718181818181818,"(0.74,)",0.47545454545454546,0.3,0.2963636363636364,0.44,0.4444444444444445,1800,2250,2,3,7,13,60,118,0.7171154898059761,0.731369060387472
-26,50,19.745127,0.76,0.7959317585301837,0.7713043478260869,"(0.76,)",0.47304347826086957,0.42,0.2982608695652174,0.34,0.43636363636363634,3600,4650,3,7,6,6,67,110,0.6630536113757898,0.6704194582498636
-32,50,20.060224,0.82,0.7982499106421849,0.7733333333333333,"(0.82,)",0.4775,0.58,0.29583333333333334,0.24,0.14705882352941177,750,4350,1,5,4,9,24,189,0.722037874227393,0.6973792845407901
-22,50,20.406424,0.72,0.7968326310295222,0.7712,"(0.72,)",0.4768,0.46,0.2944,0.26,0.39024390243902435,2400,3750,1,5,11,11,16,284,0.45884050397849746,0.665033921815526
-28,50,20.718331,0.78,0.798296986032835,0.7715384615384615,"(0.78,)",0.48307692307692307,0.64,0.28846153846153844,0.14,0.43636363636363634,3600,4650,4,5,7,7,189,184,0.7132198416011544,0.6270938204605117
-34,50,21.036904,0.84,0.8006323316490855,0.774074074074074,"(0.84,)",0.4866666666666667,0.58,0.2874074074074074,0.26,0.5,900,900,2,2,5,5,60,34,0.7443753352143405,0.735529753797638
-28,50,21.353985,0.78,0.8004772644432294,0.7742857142857142,"(0.78,)",0.49357142857142855,0.68,0.2807142857142857,0.1,0.4642857142857143,1950,2250,2,2,8,15,28,31,0.7152832614230323,0.6745866064533783
-36,50,21.667104,0.86,0.803249812849531,0.7772413793103449,"(0.86,)",0.4993103448275862,0.66,0.27793103448275863,0.2,0.32142857142857145,1350,2850,3,2,7,12,273,73,0.7205338989459636,0.7438488008042623
-24,50,21.986162,0.74,0.8018263334521106,0.776,"(0.74,)",0.49933333333333335,0.5,0.27666666666666667,0.24,0.35135135135135137,1950,3600,4,3,5,8,35,189,0.7333737780819517,0.7010012119720473
-26,50,22.314725,0.76,0.8007062765820337,0.775483870967742,"(0.76,)",0.49548387096774194,0.38,0.28,0.38,0.18604651162790695,1200,5250,1,5,4,9,11,216,0.6373126922630052,0.7519658080770151
-28,50,22.633881,0.78,0.8010294080903481,0.775625,"(0.78,)",0.49875,0.6,0.276875,0.18,0.3333333333333333,600,1200,1,3,3,4,5,41,0.7395105576521477,0.7502867849208984
-24,50,22.976327,0.74,0.7981318010484395,0.7745454545454545,"(0.74,)",0.49818181818181817,0.48,0.27636363636363637,0.26,0.37499999999999994,1350,2250,1,3,8,15,14,318,0.6950627220517276,0.7379500465561947
-20,50,23.306887,0.7,0.7969277745155607,0.7723529411764706,"(0.7,)",0.49941176470588233,0.54,0.27294117647058824,0.16,0.4418604651162791,2850,3600,3,3,11,11,141,27,0.7522185816767185,0.7200030121328633
-32,50,23.628497,0.82,0.7990047252722168,0.7737142857142857,"(0.82,)",0.5005714285714286,0.54,0.27314285714285713,0.28,0.4390243902439025,2700,3450,4,5,9,9,88,54,0.7446119449051947,0.7395514142315764
-22,50,23.948939,0.72,0.7974513510508173,0.7722222222222223,"(0.72,)",0.49444444444444446,0.28,0.2777777777777778,0.44,0.43636363636363634,3600,4650,2,8,9,9,38,333,0.6828657296679245,0.7060475752549891
-20,50,24.296556,0.7,0.796892164240427,0.7702702702702703,"(0.7,)",0.49243243243243245,0.42,0.27783783783783783,0.28,0.10526315789473684,600,5100,2,5,3,8,60,309,0.722457411284466,0.7262413591850431
-24,50,24.626496,0.74,0.7961435521066541,0.7694736842105263,"(0.74,)",0.4936842105263158,0.54,0.27578947368421053,0.2,0.28571428571428575,300,750,1,3,4,5,3,173,0.751201993089338,0.7184460061983242
-18,50,24.965092,0.68,0.7938188271263407,0.7671794871794871,"(0.68,)",0.4917948717948718,0.42,0.2753846153846154,0.26,0.24390243902439024,1500,4650,2,5,4,7,54,118,0.749074051399726,0.7300257482436411
-18,50,25.310936,0.68,0.7920276050465476,0.765,"(0.68,)",0.4905,0.44,0.2745,0.24,0.4615384615384615,900,1050,2,2,6,6,48,199,0.7067531738789314,0.722599307134604
-32,50,25.632694,0.82,0.7931162159844724,0.7663414634146342,"(0.82,)",0.49414634146341463,0.64,0.27219512195121953,0.18,0.4615384615384615,900,1050,2,2,5,5,141,54,0.7053194651886017,0.724638788721866
-28,50,25.938092,0.78,0.7928468554968795,0.7666666666666667,"(0.78,)",0.4961904761904762,0.58,0.2704761904761905,0.2,0.42857142857142855,450,600,2,2,4,4,25,66,0.7357457106248786,0.722565265027483
-28,50,26.267812,0.78,0.7920196439533456,0.7669767441860466,"(0.78,)",0.49767441860465117,0.56,0.26930232558139533,0.22,0.7142857142857143,750,300,3,1,5,4,45,33,0.7446623349530288,0.6895213880382406
-24,50,26.595853,0.74,0.7912063969322614,0.7663636363636364,"(0.74,)",0.4990909090909091,0.56,0.2672727272727273,0.18,0.5777777777777778,3900,2850,5,2,6,6,163,27,0.6882538439103477,0.6801111841232386
-36,50,26.907198,0.86,0.7927732180196583,0.7684444444444445,"(0.86,)",0.5004444444444445,0.56,0.268,0.3,0.16279069767441862,1050,5400,1,6,3,6,0,207,0.7516800781843245,0.7208097652151727
-20,50,27.235168,0.7,0.7908475814446976,0.7669565217391304,"(0.7,)",0.49956521739130433,0.46,0.2673913043478261,0.24,0.23076923076923075,1800,6000,1,6,4,6,17,197,0.6009372439775742,0.7088171079093585
-24,50,27.575083,0.74,0.7899710144927536,0.7663829787234042,"(0.74,)",0.49872340425531914,0.46,0.2676595744680851,0.28,0.41818181818181815,3450,4800,2,6,9,9,42,242,0.49604414447460365,0.7278648704468521
-34,50,27.878769,0.84,0.7914948591624719,0.7679166666666667,"(0.84,)",0.5025,0.68,0.2654166666666667,0.16,0.42857142857142855,450,600,2,2,3,3,29,108,0.7417793664702963,0.7299765066823107
-24,50,28.218248,0.74,0.7909199247540225,0.7673469387755102,"(0.74,)",0.5020408163265306,0.48,0.2653061224489796,0.26,0.5,900,900,2,2,4,4,87,12,0.7348898583697133,0.7552368774111433
-26,50,28.543161,0.76,0.7910609823089303,0.7672,"(0.76,)",0.4992,0.36,0.268,0.4,0.5714285714285715,600,450,2,2,5,5,66,91,0.7258738955987691,0.7419789329710438
-14,50,28.886909,0.64,0.7885934887411713,0.7647058823529411,"(0.64,)",0.49607843137254903,0.34,0.26862745098039215,0.3,0.7142857142857143,750,300,3,1,5,4,172,6,0.7449104381063827,0.6967618031167362
-22,50,29.204693,0.72,0.7881092238334636,0.7638461538461538,"(0.72,)",0.49346153846153845,0.36,0.2703846153846154,0.36,0.28571428571428575,300,750,1,3,4,4,28,198,0.7496338922625343,0.7263391724455358
-14,50,29.552881,0.64,0.785885055102888,0.7615094339622641,"(0.64,)",0.49245283018867925,0.44,0.2690566037735849,0.2,0.7142857142857143,750,300,3,1,4,4,198,27,0.7439533335361782,0.7002668000329223
-26,50,29.868876,0.76,0.7860420468256846,0.7614814814814815,"(0.76,)",0.4925925925925926,0.5,0.2688888888888889,0.26,0.075,450,5550,2,7,4,13,133,326,0.7418112086575162,0.7458636715009419
