#{"t_start": 1669661340.5801413, "env_id": "DeepRMSA-v0"}
r,l,t,episode_service_blocking_rate,bit_rate_blocking_rate
49,49,1.231283,0.0,0.0
49,49,1.704592,0.0,0.0
37,49,2.461994,0.12244897959183673,0.058829832833261896
19,49,2.948799,0.30612244897959184,0.1403875532684731
13,49,3.424359,0.3673469387755102,0.19658009771149396
11,49,3.930511,0.3877551020408163,0.2414786365818531
13,49,4.410218,0.3673469387755102,0.2692821907703656
15,49,4.949657,0.3469387755102041,0.2877604693505968
33,49,5.448436,0.16326530612244897,0.2807771478097577
19,49,5.965108,0.30612244897959184,0.28813007070476687
33,49,6.546904,0.16326530612244897,0.28238572360230035
7,49,7.05169,0.42857142857142855,0.30367158921555343
9,49,7.535856,0.40816326530612246,0.31750771624300517
15,49,8.070815,0.3469387755102041,0.32660238494503446
17,49,8.585521,0.32653061224489793,0.3318822914852864
15,49,9.106115,0.3469387755102041,0.33549858478079375
5,49,9.57045,0.4489795918367347,0.346881195668751
37,49,10.097902,0.12244897959183673,0.3355528361646991
13,49,10.595889,0.3673469387755102,0.3389538062047287
25,49,11.089816,0.24489795918367346,0.33702716755492007
19,49,11.636445,0.30612244897959184,0.33722259998763676
3,49,12.110111,0.46938775510204084,0.3464267762632684
23,49,12.610293,0.2653061224489796,0.3447053172854156
17,49,13.133712,0.32653061224489793,0.34789558526706493
7,49,13.614268,0.42857142857142855,0.35416504223521766
23,49,14.134655,0.2653061224489796,0.35286176768371186
17,49,14.659574,0.32653061224489793,0.3538721554898292
-3,49,15.084872,0.5306122448979592,0.36368609740199276
7,49,15.589686,0.42857142857142855,0.36699712256092076
23,49,16.067993,0.2653061224489796,0.36439378283427054
25,49,16.5386,0.24489795918367346,0.3608325529026759
9,49,17.086644,0.40816326530612246,0.3655120312803079
37,49,17.617626,0.12244897959183673,0.35903173110242065
23,49,18.209432,0.2653061224489796,0.3575493098542812
19,49,18.720942,0.30612244897959184,0.3580768513337064
15,49,19.240597,0.3469387755102041,0.35962896001599
17,49,19.786532,0.32653061224489793,0.36025179697100973
29,49,20.292645,0.20408163265306123,0.3575547369870559
29,49,20.776665,0.20408163265306123,0.35549612689044635
3,49,21.242565,0.46938775510204084,0.36044393992601004
23,49,21.709516,0.2653061224489796,0.36031499821023744
7,49,22.185941,0.42857142857142855,0.363927419668182
7,49,22.647701,0.42857142857142855,0.3671321225396246
17,49,23.125751,0.32653061224489793,0.3686081548440724
27,49,23.6771,0.22448979591836735,0.36741506175347954
13,49,24.187555,0.3673469387755102,0.3689351424309157
29,49,24.72187,0.20408163265306123,0.3661433200294817
1,49,25.20462,0.4897959183673469,0.37017618021654347
31,49,25.718016,0.1836734693877551,0.3677487989936972
21,49,26.233658,0.2857142857142857,0.3679272536274703
21,49,26.722631,0.2857142857142857,0.3674166409385613
21,49,27.281667,0.2857142857142857,0.36724313967705746
33,49,27.831739,0.16326530612244897,0.3648042894114442
7,49,28.342504,0.42857142857142855,0.36784325637910087
19,49,28.841715,0.30612244897959184,0.3679418533932767
17,49,29.326713,0.32653061224489793,0.36861042256327314
5,49,29.764346,0.4489795918367347,0.3710775351570136
15,49,30.280461,0.3469387755102041,0.37212997043042667
33,49,30.760034,0.16326530612244897,0.369412248207532
15,49,31.222216,0.3469387755102041,0.3699413121168075
15,49,31.746167,0.3469387755102041,0.37029333677297305
25,49,32.216475,0.24489795918367346,0.3697420330629211
17,49,32.756982,0.32653061224489793,0.3704811599028212
17,49,33.234201,0.32653061224489793,0.3702730392910199
33,49,33.728148,0.16326530612244897,0.36776559363241096
25,49,34.28086,0.24489795918367346,0.3665871714612213
11,49,34.751367,0.3877551020408163,0.36819414130934786
9,49,35.296834,0.40816326530612246,0.37047665440023925
27,49,35.823053,0.22448979591836735,0.36904190905853024
23,49,36.291978,0.2653061224489796,0.36857819417275817
21,49,36.832607,0.2857142857142857,0.368390422347855
31,49,37.320083,0.1836734693877551,0.3667299454163878
15,49,37.775893,0.3469387755102041,0.3672997923539511
29,49,38.347097,0.20408163265306123,0.3658024417314095
27,49,38.853647,0.22448979591836735,0.3643111274690222
15,49,39.364603,0.3469387755102041,0.3645271628908598
9,49,39.834986,0.40816326530612246,0.3657229874123965
7,49,40.302891,0.42857142857142855,0.36759172748162927
23,49,40.832468,0.2653061224489796,0.36688349450038216
3,49,41.26697,0.46938775510204084,0.3693175297955704
15,49,41.758038,0.3469387755102041,0.37020925310682795
19,49,42.218575,0.30612244897959184,0.37022401580629294
17,49,42.667872,0.32653061224489793,0.3704607752525851
17,49,43.191948,0.32653061224489793,0.37099507927829417
25,49,43.733971,0.24489795918367346,0.36986623582442923
43,49,44.240235,0.061224489795918366,0.3665907955788888
37,49,44.776673,0.12244897959183673,0.3639828256288662
21,49,45.250365,0.2857142857142857,0.3630981875081497
29,49,45.789966,0.20408163265306123,0.36205765744520924
