#{"t_start": 1673382539.677439, "env_id": "DeepRMSADPPKSP-v0"}
r,l,t,episode_service_blocking_rate,bit_rate_blocking_rate,failure,episode_failure,failure_slots,episode_failure_slots,failure_disjointness,episode_failure_disjointness
50,50,0.310961,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,0.635452,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,0.969056,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,1.311904,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,1.668575,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,2.065704,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
50,50,2.444144,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0
48,50,2.823221,0.02,0.003028083994695905,0.0025,"(0.02,)",0.0025,0.02,0.0,0.0
38,50,3.2023,0.12,0.019933672029353654,0.015555555555555555,"(0.12,)",0.015555555555555555,0.12,0.0,0.0
38,50,3.565393,0.12,0.03239378039416432,0.026,"(0.12,)",0.026,0.12,0.0,0.0
24,50,3.914371,0.26,0.06103625744520905,0.04727272727272727,"(0.26,)",0.04727272727272727,0.26,0.0,0.0
26,50,4.275242,0.24,0.0813273727647868,0.06333333333333334,"(0.24,)",0.06333333333333334,0.24,0.0,0.0
30,50,4.641638,0.2,0.09388670367238908,0.07384615384615385,"(0.2,)",0.07384615384615385,0.2,0.0,0.0
22,50,5.146774,0.28,0.10871249231049646,0.08857142857142856,"(0.28,)",0.08857142857142856,0.28,0.0,0.0
30,50,5.756698,0.2,0.11989806753026121,0.096,"(0.2,)",0.096,0.2,0.0,0.0
34,50,6.350228,0.16,0.12502614463711242,0.1,"(0.16,)",0.1,0.16,0.0,0.0
34,50,7.02189,0.16,0.12825845683215042,0.10352941176470588,"(0.16,)",0.10352941176470588,0.16,0.0,0.0
32,50,7.637903,0.18,0.1333662719909654,0.10777777777777778,"(0.18,)",0.10777777777777778,0.18,0.0,0.0
30,50,8.276152,0.2,0.140788967179367,0.11263157894736842,"(0.2,)",0.11263157894736842,0.2,0.0,0.0
38,50,8.726005,0.12,0.14116506859653163,0.113,"(0.12,)",0.113,0.12,0.0,0.0
28,50,9.108478,0.22,0.14795663431400755,0.1180952380952381,"(0.22,)",0.1180952380952381,0.22,0.0,0.0
30,50,9.498153,0.2,0.15213755656108596,0.12181818181818181,"(0.2,)",0.12181818181818181,0.2,0.0,0.0
28,50,9.879629,0.22,0.15732836027075564,0.12608695652173912,"(0.22,)",0.12608695652173912,0.22,0.0,0.0
28,50,10.290735,0.22,0.16235984061213413,0.13,"(0.22,)",0.13,0.22,0.0,0.0
28,50,10.66968,0.22,0.16726076052500924,0.1336,"(0.22,)",0.1336,0.22,0.0,0.0
26,50,11.047801,0.24,0.17235358980642,0.1376923076923077,"(0.24,)",0.1376923076923077,0.24,0.0,0.0
32,50,11.434497,0.18,0.17521496321248117,0.13925925925925925,"(0.18,)",0.13925925925925925,0.18,0.0,0.0
20,50,11.771259,0.3,0.1823172954255513,0.145,"(0.3,)",0.145,0.3,0.0,0.0
