#{"t_start": 1673819268.1453173, "env_id": "DeepRMSADPPKSP-v0"}
r,l,t,episode_service_blocking_rate,bit_rate_blocking_rate,failure,episode_failure,failure_slots,episode_failure_slots,failure_disjointness,episode_failure_disjointness
48,50,0.220324,0.02,0.013644366197183098,0.02,"(0.02,)",0.02,0.02,0.0,0.0
46,50,0.45771,0.04,0.027564356435643565,0.03,"(0.04,)",0.03,0.04,0.0,0.0
44,50,0.71508,0.06,0.036003130707018,0.04,"(0.06,)",0.04,0.06,0.0,0.0
30,50,0.959241,0.2,0.07355958958168902,0.08,"(0.2,)",0.08,0.2,0.0,0.0
42,50,1.201444,0.08,0.07234308968539678,0.08,"(0.08,)",0.08,0.08,0.0,0.0
42,50,1.467922,0.08,0.07331362958700599,0.08,"(0.08,)",0.08,0.08,0.0,0.0
12,50,1.693273,0.38,0.12378156721267394,0.12285714285714286,"(0.38,)",0.12285714285714286,0.38,0.0,0.0
14,50,1.943976,0.36,0.15781661290003365,0.1525,"(0.36,)",0.1525,0.36,0.0,0.0
10,50,2.160776,0.4,0.1919453852667231,0.18,"(0.4,)",0.18,0.4,0.0,0.0
8,50,2.432573,0.42,0.21599052981827488,0.204,"(0.42,)",0.204,0.42,0.0,0.0
8,50,2.80419,0.42,0.2427571849881455,0.22363636363636363,"(0.42,)",0.22363636363636363,0.42,0.0,0.0
12,50,3.156852,0.38,0.2556078721828378,0.23666666666666666,"(0.38,)",0.23666666666666666,0.38,0.0,0.0
4,50,3.512477,0.46,0.2779227781249617,0.25384615384615383,"(0.46,)",0.25384615384615383,0.46,0.0,0.0
12,50,3.885389,0.38,0.2860381399375726,0.26285714285714284,"(0.38,)",0.26285714285714284,0.38,0.0,0.0
4,50,4.234184,0.46,0.304427691654279,0.276,"(0.46,)",0.276,0.46,0.0,0.0
10,50,4.600706,0.4,0.3119030307859327,0.28375,"(0.4,)",0.28375,0.4,0.0,0.0
-2,50,4.946245,0.52,0.3284431221495789,0.29764705882352943,"(0.52,)",0.29764705882352943,0.52,0.0,0.0
-4,50,5.282263,0.54,0.34165622628857795,0.3111111111111111,"(0.54,)",0.3111111111111111,0.54,0.0,0.0
12,50,5.671375,0.38,0.3439137056687141,0.31473684210526315,"(0.38,)",0.31473684210526315,0.38,0.0,0.0
-8,50,6.032402,0.58,0.3587435752814166,0.328,"(0.58,)",0.328,0.58,0.0,0.0
6,50,6.341964,0.44,0.3641188316702754,0.3333333333333333,"(0.44,)",0.3333333333333333,0.44,0.0,0.0
4,50,6.565911,0.46,0.36915837104072396,0.3390909090909091,"(0.46,)",0.3390909090909091,0.46,0.0,0.0
-2,50,6.774526,0.52,0.37741400745959386,0.34695652173913044,"(0.52,)",0.34695652173913044,0.52,0.0,0.0
0,50,6.986379,0.5,0.384543083705106,0.35333333333333333,"(0.5,)",0.35333333333333333,0.5,0.0,0.0
-8,50,7.174345,0.58,0.39422158852210665,0.3624,"(0.58,)",0.3624,0.58,0.0,0.0
0,50,7.380441,0.5,0.3992220044106837,0.3676923076923077,"(0.5,)",0.3676923076923077,0.5,0.0,0.0
12,50,7.62465,0.38,0.3998345300357533,0.36814814814814817,"(0.38,)",0.36814814814814817,0.38,0.0,0.0
6,50,7.827445,0.44,0.402747402952433,0.3707142857142857,"(0.44,)",0.3707142857142857,0.44,0.0,0.0
10,50,8.06162,0.4,0.40416795103263026,0.3717241379310345,"(0.4,)",0.3717241379310345,0.4,0.0,0.0
12,50,8.27617,0.38,0.40531413041744,0.372,"(0.38,)",0.372,0.38,0.0,0.0
-10,50,8.47089,0.6,0.4135945353782704,0.3793548387096774,"(0.6,)",0.3793548387096774,0.6,0.0,0.0
18,50,8.721299,0.32,0.4123528970841766,0.3775,"(0.32,)",0.3775,0.32,0.0,0.0
14,50,8.957152,0.36,0.41301440877510875,0.37696969696969695,"(0.36,)",0.37696969696969695,0.36,0.0,0.0
4,50,9.163828,0.46,0.41553493834409866,0.37941176470588234,"(0.46,)",0.37941176470588234,0.46,0.0,0.0
-2,50,9.360635,0.52,0.42062684045928733,0.38342857142857145,"(0.52,)",0.38342857142857145,0.52,0.0,0.0
6,50,9.593941,0.44,0.42244412320693875,0.385,"(0.44,)",0.385,0.44,0.0,0.0
6,50,9.838312,0.44,0.42387835067597374,0.3864864864864865,"(0.44,)",0.3864864864864865,0.44,0.0,0.0
10,50,10.058746,0.4,0.4242892251754844,0.3868421052631579,"(0.4,)",0.3868421052631579,0.4,0.0,0.0
-8,50,10.254524,0.58,0.4297394661453531,0.39179487179487177,"(0.58,)",0.39179487179487177,0.58,0.0,0.0
12,50,10.48424,0.38,0.43002288439188624,0.3915,"(0.38,)",0.3915,0.38,0.0,0.0
4,50,10.719805,0.46,0.4331654805241373,0.3931707317073171,"(0.46,)",0.3931707317073171,0.46,0.0,0.0
2,50,10.926277,0.48,0.4353458458115203,0.3952380952380952,"(0.48,)",0.3952380952380952,0.48,0.0,0.0
6,50,11.145871,0.44,0.4367394013802854,0.39627906976744187,"(0.44,)",0.39627906976744187,0.44,0.0,0.0
0,50,11.355032,0.5,0.43909914228235686,0.3986363636363636,"(0.5,)",0.3986363636363636,0.5,0.0,0.0
6,50,11.610014,0.44,0.4409218930029445,0.39955555555555555,"(0.44,)",0.39955555555555555,0.44,0.0,0.0
2,50,11.822754,0.48,0.4419807628754805,0.401304347826087,"(0.48,)",0.401304347826087,0.48,0.0,0.0
2,50,12.031419,0.48,0.44516283034953114,0.40297872340425533,"(0.48,)",0.40297872340425533,0.48,0.0,0.0
0,50,12.241144,0.5,0.44747710720788264,0.405,"(0.5,)",0.405,0.5,0.0,0.0
4,50,12.439881,0.46,0.44895453396410384,0.4061224489795918,"(0.46,)",0.4061224489795918,0.46,0.0,0.0
4,50,12.674425,0.46,0.45027900297795925,0.4072,"(0.46,)",0.4072,0.46,0.0,0.0
12,50,12.896715,0.38,0.4503562960327232,0.4066666666666667,"(0.38,)",0.4066666666666667,0.38,0.0,0.0
-6,50,13.095581,0.56,0.4542825272148046,0.4096153846153846,"(0.56,)",0.4096153846153846,0.56,0.0,0.0
10,50,13.345622,0.4,0.45414354931079726,0.40943396226415096,"(0.4,)",0.40943396226415096,0.4,0.0,0.0
-6,50,13.574849,0.56,0.45680303849834464,0.4122222222222222,"(0.56,)",0.4122222222222222,0.56,0.0,0.0
2,50,13.817734,0.48,0.45833965567551793,0.41345454545454546,"(0.48,)",0.41345454545454546,0.48,0.0,0.0
-4,50,14.026285,0.54,0.46095757572285134,0.4157142857142857,"(0.54,)",0.4157142857142857,0.54,0.0,0.0
12,50,14.255955,0.38,0.4605301337870844,0.4150877192982456,"(0.38,)",0.4150877192982456,0.38,0.0,0.0
18,50,14.476928,0.32,0.45917943894206825,0.41344827586206895,"(0.32,)",0.41344827586206895,0.32,0.0,0.0
2,50,14.702924,0.48,0.4605727939215484,0.4145762711864407,"(0.48,)",0.4145762711864407,0.48,0.0,0.0
2,50,14.918291,0.48,0.46115763487508127,0.4156666666666667,"(0.48,)",0.4156666666666667,0.48,0.0,0.0
14,50,15.148575,0.36,0.4607032806254424,0.41475409836065574,"(0.36,)",0.41475409836065574,0.36,0.0,0.0
18,50,15.392077,0.32,0.45974107988632773,0.4132258064516129,"(0.32,)",0.4132258064516129,0.32,0.0,0.0
6,50,15.610437,0.44,0.46015653245476906,0.41365079365079366,"(0.44,)",0.41365079365079366,0.44,0.0,0.0
-6,50,15.822324,0.56,0.4625601713771124,0.4159375,"(0.56,)",0.4159375,0.56,0.0,0.0
-2,50,16.05859,0.52,0.46379889371789806,0.4175384615384615,"(0.52,)",0.4175384615384615,0.52,0.0,0.0
6,50,16.290142,0.44,0.46468416864778583,0.4178787878787879,"(0.44,)",0.4178787878787879,0.44,0.0,0.0
0,50,16.523237,0.5,0.46582720024532354,0.4191044776119403,"(0.5,)",0.4191044776119403,0.5,0.0,0.0
4,50,16.733815,0.46,0.4669761229392525,0.41970588235294115,"(0.46,)",0.41970588235294115,0.46,0.0,0.0
6,50,16.983886,0.44,0.46756386362420105,0.42,"(0.44,)",0.42,0.44,0.0,0.0
2,50,17.210202,0.48,0.46893005247899006,0.4208571428571429,"(0.48,)",0.4208571428571429,0.48,0.0,0.0
12,50,17.431735,0.38,0.4685774019762014,0.42028169014084504,"(0.38,)",0.42028169014084504,0.38,0.0,0.0
20,50,17.709133,0.3,0.4673010210467965,0.4186111111111111,"(0.3,)",0.4186111111111111,0.3,0.0,0.0
