#{"t_start": 1677590728.6578183, "env_id": "DeepRMSADPP-v0"}
r,l,t,episode_service_blocking_rate,bit_rate_blocking_rate,failure,episode_failure,failure_slots,episode_failure_slots,failure_disjointness,episode_failure_disjointness,length_comparison,length_wp,length_bp,hops_wp,hops_bp,number_slots_wp,number_slots_bp,initial_slots_wp,initial_slots_bp,average_external_fragmentation_wp,average_external_fragmentation_bp
2,50,0.46834,0.48,0.4807805164319249,0.48,"(0.48,)",0.0,0.0,0.48,0.48,0.5730337078651685,1275,950,2,2,8,6,56,52,0.18021711424257414,0.9140736339589085
14,50,0.722657,0.36,0.42645544554455445,0.42,"(0.36,)",0.0,0.0,0.42,0.36,0.4200244200244201,688,950,2,2,3,3,64,48,0.13864959634709725,0.40191221183353204
16,50,1.469609,0.34,0.4018262457605009,0.3933333333333333,"(0.34,)",0.0,0.0,0.3933333333333333,0.34,0.4838709677419355,1125,1200,2,2,4,4,137,112,0.25040783578110626,0.2014279624070474
16,50,1.755014,0.34,0.38330702446724546,0.38,"(0.34,)",0.0,0.0,0.38,0.34,0.32792004996876956,525,1076,1,3,4,5,6,134,0.078511589432754,0.1506197029602833
18,50,2.078366,0.32,0.376240413210205,0.368,"(0.32,)",0.0,0.0,0.368,0.32,0.34177844013909586,688,1325,2,3,7,9,124,222,0.187841266031595,0.2720377443415393
24,50,2.37037,0.26,0.35228729108361884,0.35,"(0.26,)",0.0,0.0,0.35,0.26,0.5630252100840337,1675,1300,3,3,4,4,240,175,0.24096654337722043,0.20038743110407442
30,50,2.695014,0.2,0.3275147332332444,0.32857142857142857,"(0.2,)",0.0,0.0,0.32857142857142857,0.2,0.5607278882776132,1325,1038,2,2,9,7,316,192,0.27051420159133616,0.3308868757322269
10,50,2.993912,0.4,0.3373245987293922,0.3375,"(0.4,)",0.0,0.0,0.3375,0.4,0.5658953722334004,1125,863,2,2,4,4,58,58,0.20154071169786497,0.1556040678882179
26,50,3.353141,0.24,0.32502469658481514,0.32666666666666666,"(0.24,)",0.008888888888888889,0.08,0.31777777777777777,0.16,0.45791245791245794,1088,1288,2,3,4,5,48,226,0.40472085304194616,0.2917146662810027
-6,50,3.630323,0.56,0.3497728436140261,0.35,"(0.56,)",0.04,0.32,0.31,0.24,0.4320987654320988,875,1150,1,3,3,3,13,87,0.337254957964395,0.40894866106040517
14,50,3.935436,0.36,0.3479587116174174,0.3509090909090909,"(0.36,)",0.04181818181818182,0.06,0.3090909090909091,0.3,0.3666666666666667,275,475,1,2,4,4,137,191,0.39690742320077776,0.3893039595021618
0,50,4.193584,0.5,0.36180033858850913,0.36333333333333334,"(0.5,)",0.058333333333333334,0.24,0.305,0.26,0.5380200860832138,1500,1288,3,2,7,7,243,184,0.46784771031561084,0.4612293396479088
0,50,4.477476,0.5,0.374443995147594,0.37384615384615383,"(0.5,)",0.07230769230769231,0.24,0.30153846153846153,0.26,0.17988757026858215,288,1313,1,3,4,7,18,257,0.23891125993579762,0.39569295188527004
6,50,4.753761,0.44,0.38044245972978513,0.37857142857142856,"(0.44,)",0.08285714285714285,0.22,0.2957142857142857,0.22,0.4485981308411215,1200,1475,2,3,5,7,175,24,0.5051380206717504,0.46974204085753474
2,50,5.055108,0.48,0.38962624761095777,0.38533333333333336,"(0.48,)",0.09066666666666667,0.2,0.2946666666666667,0.28,0.7009345794392523,1875,800,3,2,7,5,50,121,0.4746595726643908,0.5542257163160077
8,50,5.33596,0.42,0.39165164387518303,0.3875,"(0.42,)",0.09625,0.18,0.29125,0.24,0.37969624300559557,475,776,1,2,5,6,24,105,0.49852722590827847,0.5209499442018599
22,50,5.671566,0.28,0.3861370440492068,0.3811764705882353,"(0.28,)",0.0976470588235294,0.12,0.28352941176470586,0.16,0.29358237547892724,613,1475,2,3,3,5,14,330,0.3383084022468163,0.5451205509231829
18,50,5.980378,0.32,0.38292071782746023,0.37777777777777777,"(0.32,)",0.09666666666666666,0.08,0.2811111111111111,0.24,0.605263157894737,1150,750,2,2,3,3,165,58,0.5362265275015944,0.4861205885997327
6,50,6.280534,0.44,0.3888851696262699,0.38105263157894737,"(0.44,)",0.1031578947368421,0.22,0.27789473684210525,0.22,0.5538900785153462,776,625,2,2,3,3,120,36,0.5749344790304547,0.529793899620905
12,50,6.575893,0.38,0.39059111382972805,0.381,"(0.38,)",0.103,0.1,0.278,0.28,0.4485981308411215,1200,1475,2,3,6,8,130,338,0.6096100187888847,0.5688202117717113
