#{"t_start": 1672837238.437752, "env_id": "DeepRMSADPP-v0"}
r,l,t,episode_service_blocking_rate,bit_rate_blocking_rate,failure,episode_failure,failure_slots,episode_failure_slots,failure_disjointness,episode_failure_disjointness
0,50,0.278371,0.5,0.5360915492957746,0.5,"(0.5,)",0.0,0.0,0.5,0.5
-6,50,0.528513,0.56,0.5454257425742575,0.53,"(0.56,)",0.04,0.08,0.49,0.48
-28,50,0.78383,0.78,0.6359509522567179,0.6133333333333333,"(0.78,)",0.18,0.46,0.43333333333333335,0.32
-32,50,1.012162,0.82,0.6947119179163378,0.665,"(0.82,)",0.235,0.4,0.43,0.42
-22,50,1.265546,0.72,0.6986695883549852,0.676,"(0.72,)",0.252,0.32,0.424,0.4
-28,50,1.491706,0.78,0.717443046582795,0.6933333333333334,"(0.78,)",0.28,0.42,0.41333333333333333,0.36
-24,50,1.740404,0.74,0.7254352746095413,0.7,"(0.74,)",0.31142857142857144,0.5,0.38857142857142857,0.24
-24,50,1.976854,0.74,0.7304213588774319,0.705,"(0.74,)",0.33,0.46,0.375,0.28
-36,50,2.210489,0.86,0.7472128139994355,0.7222222222222222,"(0.86,)",0.3511111111111111,0.52,0.3711111111111111,0.34
-30,50,2.419479,0.8,0.7556629127207576,0.73,"(0.8,)",0.376,0.6,0.354,0.2
-22,50,2.67079,0.72,0.7555369224541723,0.7290909090909091,"(0.72,)",0.3927272727272727,0.56,0.33636363636363636,0.16
-26,50,2.900307,0.76,0.7605147603428208,0.7316666666666667,"(0.76,)",0.4,0.48,0.33166666666666667,0.28
-22,50,3.152252,0.72,0.7645602813415187,0.7307692307692307,"(0.72,)",0.4076923076923077,0.5,0.3230769230769231,0.22
-36,50,3.362942,0.86,0.7728919368435442,0.74,"(0.86,)",0.40714285714285714,0.4,0.33285714285714285,0.46
-24,50,3.613336,0.74,0.7734975578679125,0.74,"(0.74,)",0.4106666666666667,0.46,0.3293333333333333,0.28
-34,50,3.822431,0.84,0.7789707478860194,0.74625,"(0.84,)",0.43125,0.74,0.315,0.1
-38,50,4.062343,0.88,0.7858535175012358,0.7541176470588236,"(0.88,)",0.4294117647058823,0.4,0.3247058823529412,0.48
-26,50,4.282367,0.76,0.7850046761130032,0.7544444444444445,"(0.76,)",0.42444444444444446,0.34,0.33,0.42
-32,50,4.519232,0.82,0.7876115081423957,0.7578947368421053,"(0.82,)",0.4263157894736842,0.46,0.33157894736842103,0.36
-32,50,4.748824,0.82,0.7894996067714747,0.761,"(0.82,)",0.43,0.5,0.331,0.32
-26,50,5.000242,0.76,0.7881304604575806,0.7609523809523809,"(0.76,)",0.4257142857142857,0.34,0.3352380952380952,0.42
-30,50,5.2283,0.8,0.7906244343891403,0.7627272727272727,"(0.8,)",0.4263636363636364,0.44,0.33636363636363636,0.36
-28,50,5.469317,0.78,0.7909932311092692,0.7634782608695653,"(0.78,)",0.42869565217391303,0.48,0.3347826086956522,0.3
-30,50,5.693563,0.8,0.7921934365029984,0.765,"(0.8,)",0.43083333333333335,0.48,0.33416666666666667,0.32
-28,50,5.937288,0.78,0.7935672365724179,0.7656,"(0.78,)",0.4352,0.54,0.3304,0.24
-28,50,6.167533,0.78,0.7932859593236952,0.7661538461538462,"(0.78,)",0.43,0.3,0.33615384615384614,0.48
-26,50,6.408413,0.76,0.7926424962326035,0.7659259259259259,"(0.76,)",0.4288888888888889,0.4,0.337037037037037,0.36
-38,50,6.617133,0.88,0.7962001093493712,0.77,"(0.88,)",0.43785714285714283,0.68,0.33214285714285713,0.2
-32,50,6.860997,0.82,0.7970628385221719,0.7717241379310344,"(0.82,)",0.443448275862069,0.6,0.32827586206896553,0.22
-14,50,7.111396,0.64,0.7915458950044408,0.7673333333333333,"(0.64,)",0.44,0.34,0.3273333333333333,0.3
-30,50,7.345988,0.8,0.7936022683335482,0.7683870967741936,"(0.8,)",0.4425806451612903,0.52,0.3258064516129032,0.28
-24,50,7.576846,0.74,0.7919146490767809,0.7675,"(0.74,)",0.43875,0.32,0.32875,0.42
-24,50,7.843421,0.74,0.7908644296082402,0.7666666666666667,"(0.74,)",0.4393939393939394,0.46,0.32727272727272727,0.28
-24,50,8.076618,0.74,0.791238990017616,0.7658823529411765,"(0.74,)",0.4411764705882353,0.5,0.3247058823529412,0.24
-38,50,8.304081,0.88,0.794557947360011,0.7691428571428571,"(0.88,)",0.44742857142857145,0.66,0.32171428571428573,0.22
-30,50,8.518819,0.8,0.7951162014900478,0.77,"(0.8,)",0.445,0.36,0.325,0.44
-22,50,8.768828,0.72,0.7946216190500904,0.7686486486486487,"(0.72,)",0.4448648648648649,0.44,0.3237837837837838,0.28
-30,50,8.987493,0.8,0.7948642415876916,0.7694736842105263,"(0.8,)",0.44894736842105265,0.6,0.32052631578947366,0.2
-32,50,9.231334,0.82,0.796437690318403,0.7707692307692308,"(0.82,)",0.4517948717948718,0.56,0.318974358974359,0.26
-24,50,9.463878,0.74,0.7959814528593508,0.77,"(0.74,)",0.4475,0.28,0.3225,0.46
-28,50,11.348658,0.78,0.7954898002135836,0.7702439024390244,"(0.78,)",0.4478048780487805,0.46,0.3224390243902439,0.32
-24,50,11.572906,0.74,0.7943975798032447,0.7695238095238095,"(0.74,)",0.44761904761904764,0.44,0.3219047619047619,0.3
-26,50,11.815928,0.76,0.7941402980077014,0.7693023255813953,"(0.76,)",0.4511627906976744,0.6,0.31813953488372093,0.16
-32,50,12.036671,0.82,0.7956729197986796,0.7704545454545455,"(0.82,)",0.4490909090909091,0.36,0.32136363636363635,0.46
-8,50,12.314664,0.58,0.7915925804753844,0.7662222222222222,"(0.58,)",0.44533333333333336,0.28,0.3208888888888889,0.3
-32,50,12.528962,0.82,0.7925904023098465,0.7673913043478261,"(0.82,)",0.45,0.66,0.3173913043478261,0.16
-34,50,12.755222,0.84,0.794001705029838,0.768936170212766,"(0.84,)",0.4497872340425532,0.44,0.3191489361702128,0.4
-34,50,12.971356,0.84,0.7956215861625789,0.7704166666666666,"(0.84,)",0.44916666666666666,0.42,0.32125,0.42
-24,50,13.247148,0.74,0.7956310058075975,0.769795918367347,"(0.74,)",0.44571428571428573,0.28,0.3240816326530612,0.46
-26,50,13.502223,0.76,0.7956612386639982,0.7696,"(0.76,)",0.4468,0.5,0.3228,0.26
-26,50,13.73701,0.76,0.7956564317495505,0.7694117647058824,"(0.76,)",0.4447058823529412,0.34,0.3247058823529412,0.42
-18,50,13.979465,0.68,0.794227340565895,0.7676923076923077,"(0.68,)",0.44384615384615383,0.4,0.32384615384615384,0.28
-30,50,14.219133,0.8,0.7947815125795787,0.7683018867924528,"(0.8,)",0.4464150943396226,0.58,0.3218867924528302,0.22
-22,50,14.452507,0.72,0.7936739558133867,0.7674074074074074,"(0.72,)",0.4444444444444444,0.34,0.32296296296296295,0.38
-34,50,14.677269,0.84,0.7948526407936971,0.7687272727272727,"(0.84,)",0.44436363636363635,0.44,0.32436363636363635,0.4
-32,50,14.888042,0.82,0.7958054138293575,0.7696428571428572,"(0.82,)",0.44607142857142856,0.54,0.32357142857142857,0.28
-36,50,15.110816,0.86,0.797085362864717,0.7712280701754386,"(0.86,)",0.4498245614035088,0.66,0.3214035087719298,0.2
-20,50,15.342327,0.7,0.7960244563713827,0.77,"(0.7,)",0.4513793103448276,0.54,0.31862068965517243,0.16
-30,50,15.580989,0.8,0.7963217965395061,0.7705084745762711,"(0.8,)",0.4535593220338983,0.58,0.3169491525423729,0.22
-28,50,15.813009,0.78,0.7962544432349158,0.7706666666666667,"(0.78,)",0.4543333333333333,0.5,0.31633333333333336,0.28
-28,50,16.05149,0.78,0.7966706927811504,0.7708196721311475,"(0.78,)",0.4557377049180328,0.54,0.31508196721311477,0.24
-32,50,16.269993,0.82,0.7973776703401367,0.7716129032258064,"(0.82,)",0.45741935483870966,0.56,0.3141935483870968,0.26
-30,50,16.513589,0.8,0.7977121004577836,0.7720634920634921,"(0.8,)",0.4542857142857143,0.26,0.31777777777777777,0.54
-12,50,16.754721,0.62,0.7960507007347242,0.7696875,"(0.62,)",0.4534375,0.4,0.31625,0.22
-32,50,16.989553,0.82,0.7965749703674437,0.7704615384615384,"(0.82,)",0.4563076923076923,0.64,0.3141538461538462,0.18
-28,50,17.214349,0.78,0.7969257573066189,0.7706060606060606,"(0.78,)",0.4578787878787879,0.56,0.31272727272727274,0.22
-30,50,17.456448,0.8,0.7977638186139221,0.771044776119403,"(0.8,)",0.46,0.6,0.311044776119403,0.2
-32,50,17.671491,0.82,0.7982107543527612,0.7717647058823529,"(0.82,)",0.46,0.46,0.31176470588235294,0.36
-26,50,17.915002,0.76,0.7977118685476159,0.7715942028985507,"(0.76,)",0.46057971014492755,0.5,0.3110144927536232,0.26
-26,50,18.152149,0.76,0.7974260523321957,0.7714285714285715,"(0.76,)",0.45971428571428574,0.4,0.3117142857142857,0.36
-24,50,18.401273,0.74,0.7975694578003842,0.7709859154929577,"(0.74,)",0.46,0.48,0.31098591549295773,0.26
-24,50,18.638168,0.74,0.7972792947445595,0.7705555555555555,"(0.74,)",0.4583333333333333,0.34,0.31222222222222223,0.4
-24,50,18.890335,0.74,0.7972841858290775,0.7701369863013698,"(0.74,)",0.4572602739726027,0.38,0.3128767123287671,0.36
-28,50,19.110671,0.78,0.7971025206722082,0.7702702702702703,"(0.78,)",0.4578378378378378,0.5,0.3124324324324324,0.28
-36,50,19.341792,0.86,0.7984238415428496,0.7714666666666666,"(0.86,)",0.4570666666666667,0.4,0.3144,0.46
-36,50,19.552792,0.86,0.7998454993756482,0.7726315789473684,"(0.86,)",0.4581578947368421,0.54,0.3144736842105263,0.32
-16,50,19.814118,0.66,0.799215969657984,0.7711688311688312,"(0.66,)",0.4568831168831169,0.36,0.3142857142857143,0.3
-32,50,20.056953,0.82,0.7999542573620921,0.7717948717948718,"(0.82,)",0.45794871794871794,0.54,0.31384615384615383,0.28
-30,50,20.304843,0.8,0.8002557721553989,0.7721518987341772,"(0.8,)",0.460253164556962,0.64,0.3118987341772152,0.16
-32,50,20.520029,0.82,0.800855413098262,0.77275,"(0.82,)",0.46,0.44,0.31275,0.38
-38,50,20.74498,0.88,0.8022381840549229,0.774074074074074,"(0.88,)",0.4624691358024691,0.66,0.31160493827160496,0.22
-28,50,22.595411,0.78,0.8026066712913429,0.7741463414634147,"(0.78,)",0.46414634146341466,0.6,0.31,0.18
-40,50,22.818142,0.9,0.8042376357150043,0.7756626506024097,"(0.9,)",0.4653012048192771,0.56,0.3103614457831325,0.34
-18,50,23.067274,0.68,0.8035680478238504,0.7745238095238095,"(0.68,)",0.4630952380952381,0.28,0.31142857142857144,0.4
-14,50,23.332555,0.64,0.8024278035462936,0.7729411764705882,"(0.64,)",0.4616470588235294,0.34,0.31129411764705883,0.3
-30,50,23.564178,0.8,0.8025274189662868,0.7732558139534884,"(0.8,)",0.4627906976744186,0.56,0.31046511627906975,0.24
-38,50,23.790092,0.88,0.8036074956152497,0.7744827586206896,"(0.88,)",0.4645977011494253,0.62,0.3098850574712644,0.26
-28,50,24.014908,0.78,0.8036213249720306,0.7745454545454545,"(0.78,)",0.4647727272727273,0.48,0.30977272727272726,0.3
-28,50,24.257793,0.78,0.803422952002887,0.7746067415730337,"(0.78,)",0.4647191011235955,0.46,0.30988764044943823,0.32
-28,50,24.481618,0.78,0.8036494813725875,0.7746666666666666,"(0.78,)",0.4651111111111111,0.5,0.30955555555555553,0.28
-34,50,24.718748,0.84,0.8042745926649711,0.7753846153846153,"(0.84,)",0.4665934065934066,0.6,0.3087912087912088,0.24
-34,50,24.928075,0.84,0.8051222924203468,0.7760869565217391,"(0.84,)",0.46695652173913044,0.5,0.3091304347826087,0.34
-30,50,25.170946,0.8,0.805468550573658,0.7763440860215054,"(0.8,)",0.46774193548387094,0.54,0.3086021505376344,0.26
-32,50,25.38836,0.82,0.8060285001647458,0.7768085106382979,"(0.82,)",0.4693617021276596,0.62,0.3074468085106383,0.2
-40,50,25.631799,0.9,0.8072107376298029,0.7781052631578947,"(0.9,)",0.472,0.72,0.3061052631578947,0.18
-28,50,25.855474,0.78,0.8073248992484116,0.778125,"(0.78,)",0.47291666666666665,0.56,0.30520833333333336,0.22
-30,50,26.089886,0.8,0.8075458355981965,0.7783505154639175,"(0.8,)",0.4738144329896907,0.56,0.3045360824742268,0.24
-22,50,26.310421,0.72,0.8069190790473963,0.7777551020408163,"(0.72,)",0.473265306122449,0.42,0.30448979591836733,0.3
-28,50,26.561837,0.78,0.8069097006422209,0.7777777777777778,"(0.78,)",0.47353535353535353,0.5,0.30424242424242426,0.28
-32,50,26.777317,0.82,0.8071518301788839,0.7782,"(0.82,)",0.475,0.62,0.3032,0.2
-30,50,27.014559,0.8,0.8072809484702145,0.7784158415841584,"(0.8,)",0.4768316831683168,0.66,0.3015841584158416,0.14
-14,50,27.261427,0.64,0.8061507737138264,0.7770588235294118,"(0.64,)",0.47627450980392155,0.42,0.3007843137254902,0.22
-28,50,27.526896,0.78,0.8063449975725436,0.7770873786407767,"(0.78,)",0.47631067961165047,0.48,0.30077669902912624,0.3
-26,50,27.767004,0.76,0.8063142247387834,0.7769230769230769,"(0.76,)",0.47615384615384615,0.46,0.3007692307692308,0.3
-32,50,28.01924,0.82,0.8068127516194483,0.7773333333333333,"(0.82,)",0.4756190476190476,0.42,0.3017142857142857,0.4
-20,50,28.262826,0.7,0.8061185162122089,0.7766037735849056,"(0.7,)",0.4760377358490566,0.52,0.30056603773584906,0.18
-32,50,28.508869,0.82,0.8063442290068106,0.7770093457943925,"(0.82,)",0.47738317757009346,0.62,0.29962616822429905,0.2
-16,50,28.751602,0.66,0.8052507935848368,0.7759259259259259,"(0.66,)",0.4772222222222222,0.46,0.2987037037037037,0.2
-26,50,28.995503,0.76,0.8051966961402023,0.7757798165137615,"(0.76,)",0.47743119266055045,0.5,0.29834862385321104,0.26
-24,50,29.23253,0.74,0.8051173217232725,0.7754545454545455,"(0.74,)",0.47709090909090907,0.44,0.2983636363636364,0.3
-20,50,29.490615,0.7,0.80470421144703,0.7747747747747747,"(0.7,)",0.47711711711711713,0.48,0.29765765765765767,0.22
-32,50,29.702147,0.82,0.8047027908792106,0.7751785714285714,"(0.82,)",0.47928571428571426,0.72,0.2958928571428571,0.1
-22,50,29.957234,0.72,0.8042690750809933,0.7746902654867257,"(0.72,)",0.4785840707964602,0.4,0.2961061946902655,0.32
-40,50,30.156143,0.9,0.8052851240830781,0.7757894736842105,"(0.9,)",0.47982456140350876,0.62,0.29596491228070176,0.28
-18,50,30.410213,0.68,0.8046955405177685,0.7749565217391304,"(0.68,)",0.4786086956521739,0.34,0.29634782608695653,0.34
-12,50,30.660991,0.62,0.8035687900719033,0.7736206896551724,"(0.62,)",0.4782758620689655,0.44,0.2953448275862069,0.18
-24,50,30.915911,0.74,0.8031621181424542,0.7733333333333333,"(0.74,)",0.47863247863247865,0.52,0.2947008547008547,0.22
-28,50,31.144546,0.78,0.8033850045304559,0.7733898305084745,"(0.78,)",0.47966101694915253,0.6,0.293728813559322,0.18
-26,50,31.390786,0.76,0.8034746201947995,0.7732773109243698,"(0.76,)",0.4776470588235294,0.24,0.2956302521008403,0.52
-22,50,31.632104,0.72,0.802919688534507,0.7728333333333334,"(0.72,)",0.4766666666666667,0.36,0.2961666666666667,0.36
-22,50,31.884705,0.72,0.8023142176868947,0.772396694214876,"(0.72,)",0.47570247933884297,0.36,0.29669421487603304,0.36
-34,50,32.103806,0.84,0.8027385919379743,0.7729508196721312,"(0.84,)",0.4759016393442623,0.5,0.29704918032786887,0.34
-30,50,33.978812,0.8,0.803101525205597,0.7731707317073171,"(0.8,)",0.47560975609756095,0.44,0.2975609756097561,0.36
-28,50,34.20905,0.78,0.8031415603548742,0.7732258064516129,"(0.78,)",0.47435483870967743,0.32,0.2988709677419355,0.46
-24,50,34.455694,0.74,0.8029401389254126,0.77296,"(0.74,)",0.47408,0.44,0.29888,0.3
-28,50,34.690614,0.78,0.8028994981393255,0.773015873015873,"(0.78,)",0.4746031746031746,0.54,0.2984126984126984,0.24
-30,50,34.919561,0.8,0.8032093592639802,0.7732283464566929,"(0.8,)",0.4754330708661417,0.58,0.2977952755905512,0.22
-36,50,35.135721,0.86,0.803821544394776,0.77390625,"(0.86,)",0.47578125,0.52,0.298125,0.34
-30,50,35.376974,0.8,0.8038636863429162,0.7741085271317829,"(0.8,)",0.4765891472868217,0.58,0.29751937984496124,0.22
-28,50,35.602236,0.78,0.8037730358994465,0.7741538461538462,"(0.78,)",0.4773846153846154,0.58,0.2967692307692308,0.2
-34,50,35.845353,0.84,0.8041698374984401,0.7746564885496183,"(0.84,)",0.47877862595419846,0.66,0.29587786259541987,0.18
-26,50,36.076857,0.76,0.8039522206188873,0.7745454545454545,"(0.76,)",0.4796969696969697,0.6,0.29484848484848486,0.16
-30,50,36.332128,0.8,0.80410132631815,0.7747368421052632,"(0.8,)",0.47984962406015036,0.5,0.2948872180451128,0.3
-22,50,36.574313,0.72,0.8036521978383486,0.7743283582089552,"(0.72,)",0.47955223880597014,0.44,0.2947761194029851,0.28
-22,50,36.835639,0.72,0.8032900938636045,0.7739259259259259,"(0.72,)",0.4788148148148148,0.38,0.2951111111111111,0.34
-20,50,37.073222,0.7,0.8029149591431916,0.7733823529411765,"(0.7,)",0.4786764705882353,0.46,0.29470588235294115,0.24
-22,50,37.314715,0.72,0.8024069058982419,0.772992700729927,"(0.72,)",0.47897810218978104,0.52,0.294014598540146,0.2
-32,50,37.533193,0.82,0.8026385500174277,0.7733333333333333,"(0.82,)",0.4807246376811594,0.72,0.2926086956521739,0.1
-26,50,37.792311,0.76,0.802504582467692,0.7732374100719425,"(0.76,)",0.48071942446043164,0.48,0.29251798561151077,0.28
-30,50,38.013241,0.8,0.8027028202645128,0.7734285714285715,"(0.8,)",0.48128571428571426,0.56,0.29214285714285715,0.24
-28,50,38.262396,0.78,0.8026556448651887,0.7734751773049645,"(0.78,)",0.4804255319148936,0.36,0.29304964539007095,0.42
-20,50,38.503623,0.7,0.8019996253946332,0.7729577464788733,"(0.7,)",0.4792957746478873,0.32,0.2936619718309859,0.38
-22,50,38.752833,0.72,0.801703131669488,0.7725874125874126,"(0.72,)",0.4793006993006993,0.48,0.2932867132867133,0.24
-36,50,38.96744,0.86,0.8021574812257536,0.7731944444444444,"(0.86,)",0.4795833333333333,0.52,0.2936111111111111,0.34
-18,50,39.222292,0.68,0.8015226548740967,0.772551724137931,"(0.68,)",0.48,0.54,0.292551724137931,0.14
-26,50,39.451125,0.76,0.8011445972792504,0.7724657534246575,"(0.76,)",0.48054794520547944,0.56,0.29191780821917807,0.2
-34,50,39.683454,0.84,0.8013677654200566,0.7729251700680272,"(0.84,)",0.48122448979591836,0.58,0.2917006802721088,0.26
-22,50,39.919512,0.72,0.801132106523688,0.7725675675675676,"(0.72,)",0.4805405405405405,0.38,0.29202702702702704,0.34
-20,50,40.182177,0.7,0.8008278708633356,0.7720805369127517,"(0.7,)",0.48067114093959734,0.5,0.29140939597315435,0.2
-28,50,40.402233,0.78,0.8008581764551862,0.7721333333333333,"(0.78,)",0.48146666666666665,0.6,0.2906666666666667,0.18
-32,50,40.630833,0.82,0.8009563467807661,0.7724503311258278,"(0.82,)",0.48304635761589404,0.72,0.2894039735099338,0.1
-28,50,40.864216,0.78,0.8009970173792987,0.7725,"(0.78,)",0.483421052631579,0.54,0.28907894736842105,0.24
-24,50,41.106776,0.74,0.8008575826431137,0.7722875816993464,"(0.74,)",0.4831372549019608,0.44,0.2891503267973856,0.3
-16,50,41.356723,0.66,0.8002616850057822,0.7715584415584416,"(0.66,)",0.4827272727272727,0.42,0.2888311688311688,0.24
-30,50,41.615916,0.8,0.8004734626168273,0.7717419354838709,"(0.8,)",0.48296774193548386,0.52,0.28877419354838707,0.28
-34,50,41.835763,0.84,0.800921507491743,0.7721794871794871,"(0.84,)",0.4841025641025641,0.66,0.28807692307692306,0.18
-40,50,42.060807,0.9,0.8017696424599928,0.7729936305732484,"(0.9,)",0.48547770700636944,0.7,0.287515923566879,0.2
-28,50,42.28344,0.78,0.8016589639480343,0.7730379746835443,"(0.78,)",0.4859493670886076,0.56,0.2870886075949367,0.22
-24,50,42.537606,0.74,0.801383556376097,0.7728301886792452,"(0.74,)",0.4857861635220126,0.46,0.2870440251572327,0.28
-34,50,42.772424,0.84,0.8018988747631159,0.77325,"(0.84,)",0.486,0.52,0.28725,0.32
-18,50,43.028413,0.68,0.8014995610289124,0.7726708074534161,"(0.68,)",0.4857142857142857,0.44,0.28695652173913044,0.24
-24,50,43.258845,0.74,0.8013487215017597,0.7724691358024691,"(0.74,)",0.4855555555555556,0.46,0.2869135802469136,0.28
-24,50,43.522115,0.74,0.8013042534146502,0.7722699386503068,"(0.74,)",0.48552147239263804,0.48,0.2867484662576687,0.26
-22,50,45.413714,0.72,0.8011073636654968,0.7719512195121951,"(0.72,)",0.4852439024390244,0.44,0.2867073170731707,0.28
