#{"t_start": 1677592072.6862311, "env_id": "DeepRMSADPPKSP-v0"}
r,l,t,episode_service_blocking_rate,bit_rate_blocking_rate,failure,episode_failure,failure_slots,episode_failure_slots,failure_disjointness,episode_failure_disjointness,length_comparison,length_wp,length_bp,hops_wp,hops_bp,number_slots_wp,number_slots_bp,initial_slots_wp,initial_slots_bp,average_external_fragmentation_wp,average_external_fragmentation_bp
50,50,0.276468,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0,0.41666666666666663,1500,2100,2,2,8,14,258,289,0.2629129791134029,0.3103230850531404
36,50,0.558846,0.14,0.07405940594059406,0.07,"(0.14,)",0.07,0.14,0.0,0.0,0.4615384615384615,900,1050,2,2,5,5,258,130,0.4588747447448225,0.4604558688631026
-2,50,0.792936,0.52,0.24403861205322203,0.22,"(0.52,)",0.22,0.52,0.0,0.0,0.21951219512195122,1350,4800,2,4,5,8,155,138,0.497536580264602,0.6238680916974757
-24,50,1.005831,0.74,0.3743488555643252,0.35,"(0.74,)",0.35,0.74,0.0,0.0,0.28571428571428575,300,750,1,3,4,5,66,349,0.5100499704309039,0.582475812090629
-24,50,1.205101,0.74,0.45684770699640004,0.428,"(0.74,)",0.428,0.74,0.0,0.0,0.2962962962962963,1200,2850,3,2,4,9,344,342,0.6256289876950595,0.5492406968659868
-24,50,1.429511,0.74,0.5073627494572751,0.48,"(0.74,)",0.48,0.74,0.0,0.0,0.25925925925925924,1050,3000,1,4,3,6,0,0,0.6503228390334439,0.6207515943398128
-28,50,1.641547,0.78,0.5573307638873328,0.5228571428571429,"(0.78,)",0.5228571428571429,0.78,0.0,0.0,0.5,3900,3900,4,3,6,6,21,150,0.6871033584370542,0.6116483576795039
-14,50,1.861889,0.64,0.5739307696874938,0.5375,"(0.64,)",0.5375,0.64,0.0,0.0,0.15384615384615385,300,1650,1,3,4,7,15,263,0.6638575229428157,0.6867140380827671
-26,50,2.062396,0.76,0.5992626305390911,0.5622222222222222,"(0.76,)",0.5622222222222222,0.76,0.0,0.0,0.4615384615384615,900,1050,2,2,4,4,104,284,0.7304277396593747,0.6548143664442823
-18,50,2.277459,0.68,0.6176574097773228,0.574,"(0.68,)",0.574,0.68,0.0,0.0,0.4727272727272727,3900,4350,2,4,7,7,39,271,0.4574596949657318,0.681704603098648
-26,50,2.474444,0.76,0.6357774822182386,0.5909090909090909,"(0.76,)",0.5909090909090909,0.76,0.0,0.0,0.19047619047619047,600,2550,1,2,4,10,0,46,0.7004950825635617,0.44108771988367035
-26,50,2.692224,0.76,0.6503015553909639,0.605,"(0.76,)",0.605,0.76,0.0,0.0,0.42857142857142855,450,600,2,2,5,5,205,236,0.6935730799292703,0.7187014797350847
-26,50,2.89728,0.76,0.6619245426362288,0.6169230769230769,"(0.76,)",0.6169230769230769,0.76,0.0,0.0,0.3333333333333333,600,1200,1,3,2,3,3,339,0.8040460454226146,0.7175802736288356
-26,50,3.097977,0.76,0.6720170422182224,0.6271428571428571,"(0.76,)",0.6271428571428571,0.76,0.0,0.0,0.42857142857142855,450,600,2,2,3,3,6,76,0.7017546515541373,0.7362463325757637
-32,50,3.301794,0.82,0.6842535570184752,0.64,"(0.82,)",0.64,0.82,0.0,0.0,0.19047619047619047,600,2550,1,2,4,10,7,93,0.7068773318133863,0.4375696920818266
-38,50,3.506017,0.88,0.6986444628148561,0.655,"(0.88,)",0.655,0.88,0.0,0.0,0.4615384615384615,900,1050,2,2,4,4,84,108,0.7736133433080757,0.7021649859412883
-20,50,3.7196,0.7,0.703379002247694,0.6576470588235294,"(0.7,)",0.6576470588235294,0.7,0.0,0.0,0.28571428571428575,300,750,1,3,3,4,72,344,0.7508439894550732,0.7372837608884466
-18,50,3.947882,0.68,0.7091457712057313,0.6588888888888889,"(0.68,)",0.6588888888888889,0.68,0.0,0.0,0.25,1050,3150,1,3,3,6,3,68,0.7476835098145995,0.7306099542622898
-18,50,4.16379,0.68,0.7119951798356458,0.66,"(0.68,)",0.66,0.68,0.0,0.0,0.20833333333333334,750,2850,1,3,3,6,26,335,0.780760380569816,0.7490031359397685
-28,50,4.385172,0.78,0.717598366711418,0.666,"(0.78,)",0.666,0.78,0.0,0.0,0.3170731707317073,1950,4200,3,3,8,14,32,341,0.7296148713615461,0.6266197880870044
-30,50,4.6024,0.8,0.7232712020956044,0.6723809523809524,"(0.8,)",0.6723809523809524,0.8,0.0,0.0,0.42857142857142855,450,600,2,2,5,5,220,283,0.7298873517349368,0.7826948116592722
-20,50,4.825436,0.7,0.7250027149321266,0.6736363636363636,"(0.7,)",0.6736363636363636,0.7,0.0,0.0,0.34545454545454546,2850,5400,2,4,11,11,318,290,0.7659597353345007,0.6438334361516036
-16,50,5.046297,0.66,0.7246028456969195,0.6730434782608695,"(0.66,)",0.6730434782608695,0.66,0.0,0.0,0.3684210526315789,2100,3600,3,4,6,6,177,322,0.759518730434196,0.7627489321991456
-24,50,5.259023,0.74,0.7278955241663246,0.6758333333333333,"(0.74,)",0.6758333333333333,0.74,0.0,0.0,0.14285714285714285,150,900,1,3,5,6,3,263,0.7790795025606295,0.7636621277490515
-24,50,5.475889,0.74,0.7312828608165396,0.6784,"(0.74,)",0.6784,0.74,0.0,0.0,0.3333333333333333,2400,4800,1,6,11,11,27,205,0.6376660141912334,0.6864423532617355
-22,50,5.697479,0.72,0.7332761578044596,0.68,"(0.72,)",0.68,0.72,0.0,0.0,0.28571428571428575,300,750,1,3,4,4,17,86,0.8111089292064823,0.7616503052871385
